,slink,category,catlink
0,https://smartstore.naver.com/texjet/best,베스트,https://smartstore.naver.com/texjet/best?cp=1
1,https://smartstore.naver.com/texjet/best,전체상품,https://smartstore.naver.com/texjet/category/99044674d0ae4f0fb6246b6d54befc62?cp=1
2,https://smartstore.naver.com/texjet/best,실사출력원단,https://smartstore.naver.com/texjet/category/bf71f76b8aaa4ccc8d9badea397ce51c?cp=1
3,https://smartstore.naver.com/texjet/best,X 배너,https://smartstore.naver.com/texjet/category/fc5b9f00af2b4c91839707c5d666aed3?cp=1
4,https://smartstore.naver.com/texjet/best,액자,https://smartstore.naver.com/texjet/category/c1c860ee1013472f9a55452f8ff2b0e9?cp=1
5,https://smartstore.naver.com/texjet/best,롤스크린,https://smartstore.naver.com/texjet/category/81278bfd6c134c6db437be7ae405e95b?cp=1
6,https://smartstore.naver.com/texjet/best,어깨띠,https://smartstore.naver.com/texjet/category/a2f96d47f7384d7886f31cbeb84c3e49?cp=1
7,https://smartstore.naver.com/texjet/best,베스트,https://smartstore.naver.com/texjet/category/5bb2726a13324911860b30e2ff822a7e?cp=1
8,https://smartstore.naver.com/highqualitygold,베스트,https://smartstore.naver.com/highqualitygold/best?cp=1
9,https://smartstore.naver.com/highqualitygold,순금팔찌,https://smartstore.naver.com/highqualitygold/category/c7375d312b6447e98f59f4af9e74b700?cp=1
10,https://smartstore.naver.com/highqualitygold,순금목걸이,https://smartstore.naver.com/highqualitygold/category/6040b9c9648f4a298a6a4e5844a8b110?cp=1
11,https://smartstore.naver.com/highqualitygold,순금반지,https://smartstore.naver.com/highqualitygold/category/fdd56c269d9a4ef1b06aae7ed5a11805?cp=1
12,https://smartstore.naver.com/highqualitygold,"골드바, 기념품",https://smartstore.naver.com/highqualitygold/category/ea451c610f5f4240949a1faf65b539d9?cp=1
13,https://smartstore.naver.com/highqualitygold,실버팔찌,https://smartstore.naver.com/highqualitygold/category/04113a0cd10245a2878a5f10b2d9cd08?cp=1
14,https://smartstore.naver.com/highqualitygold,전체상품,https://smartstore.naver.com/highqualitygold/category/2f3bbe8666c345789d668010a66a7989?cp=1
15,https://smartstore.naver.com/sweet_nana,식품하위 메뉴 있음,https://smartstore.naver.com/sweet_nana/category/50000006?cp=1
16,https://smartstore.naver.com/sweet_nana,전체상품,https://smartstore.naver.com/sweet_nana/category/ALL?cp=1
17,https://smartstore.naver.com/posi_resin,❤️ALL₍ᐢ.ˬ.ᐢ₎❤️,https://smartstore.naver.com/posi_resin/category/159e7ce937e3401cb80bc116f074f3b0?cp=1
18,https://smartstore.naver.com/posi_resin,💛그립톡·폰거치대●'-'●💛하위 메뉴 있음,https://smartstore.naver.com/posi_resin/category/d8134c7449f849bba0468793b2553d16?cp=1
19,https://smartstore.naver.com/posi_resin,🧡키링·열쇠고리🧡,https://smartstore.naver.com/posi_resin/category/1c5057833d3144238cf0b2b64af6a69a?cp=1
20,https://smartstore.naver.com/posi_resin,💚지비츠·크록스파츠💚,https://smartstore.naver.com/posi_resin/category/d7f9988ecc7d49d891c4fe7a5e0e3b7b?cp=1
21,https://smartstore.naver.com/posi_resin,💙꾸미기·DIY💙하위 메뉴 있음,https://smartstore.naver.com/posi_resin/category/77270c38c8ba4d14ac7a535015139491?cp=1
22,https://smartstore.naver.com/posi_resin,💜악세서리💜하위 메뉴 있음,https://smartstore.naver.com/posi_resin/category/e96239c4d0984abf9ec9db8f22865b63?cp=1
23,https://smartstore.naver.com/momo24time,생활/건강하위 메뉴 있음,https://smartstore.naver.com/momo24time/category/50000008?cp=1
24,https://smartstore.naver.com/momo24time,전체상품,https://smartstore.naver.com/momo24time/category/ALL?cp=1
25,https://smartstore.naver.com/rmwmqm,🪴머 묾🪴하위 메뉴 있음,https://smartstore.naver.com/rmwmqm/category/e08e31a7222f4e6f919fed5de031d3d3?cp=1
26,https://smartstore.naver.com/rmwmqm,인기템 🔥,https://smartstore.naver.com/rmwmqm/category/1ffde5103f014b878f34a5a618b5d398?cp=1
27,https://smartstore.naver.com/rmwmqm,주방템🍴하위 메뉴 있음,https://smartstore.naver.com/rmwmqm/category/11f0471c4c114072990463b118d6e27c?cp=1
28,https://smartstore.naver.com/rmwmqm,리빙템 🛋,https://smartstore.naver.com/rmwmqm/category/2a89b532a03a4a81890fa8a5aed8cd28?cp=1
29,https://smartstore.naver.com/rmwmqm,욕실템🧼,https://smartstore.naver.com/rmwmqm/category/9f5c807fe3ea4c41adb88f05a344caf6?cp=1
30,https://smartstore.naver.com/rmwmqm,청소템🧹,https://smartstore.naver.com/rmwmqm/category/de1647a4174048efba14a11ce50e45ce?cp=1
31,https://smartstore.naver.com/rmwmqm,가구템🪑,https://smartstore.naver.com/rmwmqm/category/ce3ae7e789b9452bbaa0ba03309ca373?cp=1
32,https://smartstore.naver.com/rmwmqm,인테리어템🏠,https://smartstore.naver.com/rmwmqm/category/ceed98940a9b42598f12e9f313b32d01?cp=1
33,https://smartstore.naver.com/rmwmqm,신박템❓,https://smartstore.naver.com/rmwmqm/category/86212842cdbe434db44b6757c5a19b4e?cp=1
34,https://smartstore.naver.com/rmwmqm,시즌템🌸,https://smartstore.naver.com/rmwmqm/category/cb5d88ac964646b0886317476e968cb6?cp=1
35,https://smartstore.naver.com/rmwmqm,전체상품,https://smartstore.naver.com/rmwmqm/category/be96f63aa237493d9b86faaa6ba56249?cp=1
36,https://smartstore.naver.com/tonguebean,베스트,https://smartstore.naver.com/tonguebean/best?cp=1
37,https://smartstore.naver.com/tonguebean,텅빈 싱글오리진하위 메뉴 있음,https://smartstore.naver.com/tonguebean/category/bff2dec5e2b64ae2900aa2d334e0d202?cp=1
38,https://smartstore.naver.com/tonguebean,텅빈 블렌딩원두하위 메뉴 있음,https://smartstore.naver.com/tonguebean/category/67b80a53b6f4442c94a3298149245ca0?cp=1
39,https://smartstore.naver.com/tonguebean,텅빈 모듬하위 메뉴 있음,https://smartstore.naver.com/tonguebean/category/32d7aeba025b49b582a637828f41fdda?cp=1
40,https://smartstore.naver.com/tonguebean,사업자납품,https://smartstore.naver.com/tonguebean/category/03adecadbd1c40198ef359458eeb888b?cp=1
