,기입날짜,별점,옵션,후기
0,23.04.13.,5,모델: 에어팟 프로/프로2 / 옵션: 프로02-쿼카 브라운,좋아요 귀여워요 튼튼해보여요
1,23.04.13.,5,모델: 에어팟 프로/프로2 / 옵션: 프로08-오리헤드폰,귀여워서 선물받은사람이 아주 좋아해ㅔㅆ어요
2,23.04.13.,5,모델: NEW 에어팟3세대 / 옵션: 20-마샬,케에스가좋아좋아좋아
3,23.04.13.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,조금은 때가 탓지만 귀엽네요 ㅋㅋ
4,23.04.12.,5,모델: 에어팟 프로/프로2 / 옵션: 프로12-카드캡터,"귀여워요~
사진이랑 같네요^.^ 사이즈도 잘 맞습니다~~"
5,23.04.12.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,"귀여워요~
사진이랑 같네요^.^ 사이즈도 잘 맞습니다~~"
6,23.04.12.,5,모델: 에어팟 프로/프로2 / 옵션: 프로13-카이카이키키,이뻐요~~~~~~~~~~~
7,23.04.12.,5,모델: 에어팟 프로/프로2 / 옵션: 프로11-무지개,이뻐요~~~~~~~~~
8,23.04.11.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,끼울 때 빡빡한데 시간지나도 잘 붙어있고 뚜껑이 연결되어있지 않아서 잃어버릴까봐 걱정했는데 잘 붙어있어요. 굿!
9,23.04.11.,5,모델: 에어팟 프로/프로2 / 옵션: 프로14-닌텐도,빡빡해서 끼울 때 힘들긴 한데 그런만큼 쓰는 동안 잘 붙어있어서 편해요.
10,23.04.11.,5,모델: NEW 에어팟3세대 / 옵션: 19-닌텐도,"너무 귀여워요~!!!! 
기스날까봐 걱정이었는데 너무 귀여운 케이스가 왔네요.
더 살걸 그랬나봐요.
나중에 봐서 더 사야겠어요. 생각보다 훨씬 마음에 듭니다. 많이 파세요~!!!^^"
11,23.04.11.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,깜찍하고 귀여워요..
12,23.04.11.,5,모델: NEW 에어팟3세대 / 옵션: 64-투명젤리+키링,배송 엄청 빨라요!!!
13,23.04.10.,5,모델: 에어팟 프로/프로2 / 옵션: 프로08-오리헤드폰,너무 귀여워요 ㅜㅜㅜ!! 잘쓰고있어요 ㅎㅎ
14,23.04.10.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,너무 귀여워요 ㅜㅜㅜ!!! 잘 쓰고있어요
15,23.04.10.,5,모델: 에어팟 프로/프로2 / 옵션: 프로02-쿼카 브라운,사은품으로 온 랜덤...에어팟케이스가 너무 맘에들어요!!!!!
16,23.04.10.,5,모델: NEW 에어팟3세대 / 옵션: 01-쿼카브라운 캐릭터,가격이 저렴해서 기대 안했는데... 너무 좋아요
17,23.04.09.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-인스타,너무 좋아해요 엄청 귀엽다고ㅋㅋ
18,23.04.09.,5,모델: 에어팟 프로/프로2 / 옵션: 프로12-네모푸,너무 좋아해요 엄청 귀엽다고ㅋㅋ
19,23.04.09.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,너무 좋아해요 엄청 귀엽다고ㅋㅋ
20,23.04.08.,5,모델: 에어팟 프로/프로2 / 옵션: 프로01-감귤꼬꼬 캐릭터,귀여운 케이스를 구매 할 수 있어서 좋습니다.
21,23.04.08.,5,모델: 에어팟 프로/프로2 / 옵션: 프로22-닌텐도,귀여운 케이스를 구매할 수 있어서 굿입니다.
22,23.04.08.,5,모델: 에어팟 프로/프로2 / 옵션: 프로06-오리헤드폰,귀염사 한사람의 리뷰입니다)
