,slink,category,catlink
0,https://smartstore.naver.com/vldiol,❤후원 목걸이❤,https://smartstore.naver.com/vldiol/category/b1069017d4564db0a8271d2b64ffd014?cp=1
1,https://smartstore.naver.com/vldiol,❤후원 팔찌❤,https://smartstore.naver.com/vldiol/category/011287821edf4f56ac9b6d214d1179e9?cp=1
2,https://smartstore.naver.com/vldiol,All Products,https://smartstore.naver.com/vldiol/category/d7d6f68ca6594222a6416d6298f3d696?cp=1
3,https://smartstore.naver.com/talk_that_griptok,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1
4,https://smartstore.naver.com/talk_that_griptok,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1
5,https://smartstore.naver.com/talk_that_griptok,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1
6,https://smartstore.naver.com/talk_that_griptok,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1
7,https://smartstore.naver.com/talk_that_griptok,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1
8,https://smartstore.naver.com/talk_that_griptok,POUCH,https://smartstore.naver.com/talk_that_griptok/category/6489e4328de9460dbbd35774e16cbe03?cp=1
9,https://smartstore.naver.com/talk_that_griptok,ALL,https://smartstore.naver.com/talk_that_griptok/category/20bf14b32ffb4fdc9cc378632f183cee?cp=1
10,https://smartstore.naver.com/g-fox,베스트,https://smartstore.naver.com/g-fox/best?cp=1
11,https://smartstore.naver.com/g-fox,고압세척기하위 메뉴 있음,https://smartstore.naver.com/g-fox/category/92f165efe42c4a01a83e3d859f7c2af4?cp=1
12,https://smartstore.naver.com/g-fox,"청소용품,세제",https://smartstore.naver.com/g-fox/category/f33a45310b914867a63224d6534debe3?cp=1
13,https://smartstore.naver.com/g-fox,쇼트볼청소기,https://smartstore.naver.com/g-fox/category/4f80ea67fdbc475791ed48f57dc710f7?cp=1
14,https://smartstore.naver.com/g-fox,고압펌프&모터하위 메뉴 있음,https://smartstore.naver.com/g-fox/category/c92f7dbfdfbf4d2aa2108f30db1fb8a7?cp=1
15,https://smartstore.naver.com/g-fox,전체상품,https://smartstore.naver.com/g-fox/category/4a4a8790632241d48f1a4fd0651ebf93?cp=1
16,https://smartstore.naver.com/momo24time,생활/건강하위 메뉴 있음,https://smartstore.naver.com/momo24time/category/50000008?cp=1
17,https://smartstore.naver.com/momo24time,전체상품,https://smartstore.naver.com/momo24time/category/ALL?cp=1
18,https://smartstore.naver.com/orangebridge,식품하위 메뉴 있음,https://smartstore.naver.com/orangebridge/category/50000006?cp=1
19,https://smartstore.naver.com/orangebridge,전체상품,https://smartstore.naver.com/orangebridge/category/ALL?cp=1
