,기입날짜,별점,옵션,후기,sentiment,
0,23.04.13.,5,"해피테라스 삼각티백: 차가버섯 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요,1,
1,23.04.13.,5,"해피테라스 삼각티백: 돼지감자차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요.,1,
2,23.04.13.,5,"해피테라스 삼각티백: 우엉차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요,1,
3,23.04.13.,5,"해피테라스 삼각티백: 유자모과차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요,1,
4,23.04.13.,5,"해피테라스 삼각티백: 히비스커스차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요.,1,
5,23.04.13.,5,"해피테라스 삼각티백: 옥수수보리차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요.,1,
6,23.04.13.,5,"해피테라스 삼각티백: 호박팥차 1.5g 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요.,1,
7,23.04.13.,5,"해피테라스 삼각티백: 감잎차10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요,1,
8,23.04.13.,5,"해피테라스 삼각티백: 바나바잎차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요.,1,
9,23.04.13.,5,"해피테라스 삼각티백: 쑥차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",여러가지 맛볼수 있어서 좋아요.,1,
10,23.04.13.,5,"해피테라스 삼각티백: 자스민차 10티백
유통기한꽤 남았어요포장적당해요편리편리해요","1분? 그 이상 티백을 담궈두면 떫고 맛이 이상해요.
그 이하로 잘 우리면 향긋하고 맛있어요~",0,
11,23.04.13.,5,"해피테라스 삼각티백: 레몬밤차 10티백
유통기한꽤 남았어요포장적당해요편리편리해요",향이 은은하고 맛도 은은해서 질리지않고 매일 한잔씩 마시기 좋았어요~,1,
12,23.04.12.,5,"해피테라스 삼각티백: 레몬밤차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요",유통기한이 길어서 좋네요 (26년),1,
13,23.04.12.,5,"해피테라스 삼각티백: 페퍼민트차 10티백
유통기한아주 넉넉해요포장꼼꼼해요편리편리해요","민초는 아닌데,
잠 오는데 도움 된다고 해서
구입 했어요~!",1,
