iter	Passed	Remaining
0	3	3668
1	7	3626
2	10	3497
3	13	3328
4	16	3291
5	19	3261
6	22	3225
7	26	3246
8	29	3216
9	32	3212
10	35	3200
11	38	3203
12	42	3212
13	45	3197
14	48	3196
15	51	3184
16	55	3225
17	59	3230
18	62	3239
19	66	3260
20	70	3266
21	73	3257
22	76	3246
23	79	3237
24	83	3243
25	86	3237
26	89	3241
27	93	3232
28	98	3281
29	101	3284
30	105	3284
31	109	3303
32	113	3316
33	116	3320
34	120	3314
35	123	3307
36	126	3290
37	129	3275
38	132	3268
39	135	3257
40	139	3251
41	142	3246
42	146	3251
43	149	3246
44	152	3239
45	156	3237
46	159	3234
47	163	3236
48	166	3235
49	170	3233
50	173	3224
51	176	3220
52	179	3212
53	183	3206
54	186	3202
55	189	3198
56	193	3195
57	196	3192
58	199	3187
59	203	3182
60	206	3177
61	209	3175
62	213	3173663	216	3171664	220	3168665	223	3160666	226	3152667	229	3146668	232	3137669	235	3127770	238	3124771	242	3119772	245	3118773	248	3114774	252	3111775	255	3105776	258	3097777	262	3098778	265	3095779	268	3093880	272	3091881	276	3094882	279	3090883	283	3086884	286	3080885	289	3077886	293	3081887	297	3078888	300	3072889	304	3074990	307	3068991	310	3067992	313	3062993	317	3056994	320	3052995	323	3049996	327	3045997	330	3038998	332	3030999	336	30281100	339	30221101	343	30221102	346	30151103	349	30101104	352	30051105	355	30001106	358	29951107	362	29901108	365	29851109	368	29811110	371	29771111	375	2973112	386	3030
1113	382	29701114	385	29661115	389	29691116	393	29661117	396	29611118	399	29571119	403	29561120	406	29541121	409	29491122	412	29431123	415	29371124	419	29341125	422	29281126	425	29271127	429	29221128	432	29211129	435	29151130	439	29121131	442	29071132	445	29021133	447	28921134	450	28871135	454	28841136	457	28831137	460	28771138	464	28751139	467	28711140	470	28671141	473	2863142	483	2898
143	486	2894
144	490	2891
145	494	2891
146	497	2889
147	501	2886
148	504	2880
149	507	2876
150	511	2874
151	514	2872
152	518	2871
153	522	2869
154	525	2866
155	529	2864
156	532	2861
157	536	2857
158	539	2852
159	542	2848
160	545	2843
161	549	2841
162	552	2838
1163	547	27921164	551	27891165	554	27861166	557	27811167	560	27761168	564	27741169	567	27701170	570	27651171	573	27611172	576	27571173	579	27531174	583	27491175	586	27461176	590	27431177	593	27381178	596	27351179	599	27321180	602	27281181	605	27231182	609	27191183	612	27161184	615	27121185	618	27081186	621	27041187	625	27011188	628	26971189	631	26941190	635	26901191	638	26861192	641	26811193	644	26771194	647	26731195	650	26691196	653	2665197	665	2695
198	668	2692
199	672	2688
200	675	2686
201	679	2683
202	682	2680
203	685	2676
204	689	2673
205	692	2668
206	695	2666
207	698	2661
208	702	2658
209	706	2656
210	709	2653
211	712	2649
212	715	2643
213	718	2638
214	721	2634
215	724	2629
216	727	2624
217	730	2619
218	733	2615
219	737	2616
220	741	2614
221	744	2609
222	747	2605
223	750	2600
224	754	2598
225	757	2594
226	760	2589
227	763	2586
228	767	2582
229	770	2579
2230	765	25492231	769	25462232	772	2542233	783	2564
234	786	2561
235	790	2558
236	793	2554
237	796	2551
238	800	2548
239	804	2546
240	807	2543
241	811	2542
242	814	2538
243	818	2535
244	821	2531
245	824	2526
246	827	2522
247	830	2517
248	833	2513
249	836	2509
250	839	2506
251	843	2503
252	846	2499
253	849	2494
254	852	2491
255	855	2486
256	858	2482
257	861	2478
258	864	2474
2259	860	24482260	863	24442261	866	24412262	869	24372263	872	24332264	876	24302265	879	24282266	883	24252267	887	24222268	890	24192269	893	24162270	897	24132271	901	24112272	904	24072273	907	24032274	911	24022275	914	23982276	917	2395277	934	2428
2278	922	23842279	926	23812280	929	23782281	933	23772282	936	23732283	940	23702284	943	23662285	946	23622286	949	23582287	952	23542288	955	23502289	959	23482290	961	23422291	964	23392292	967	23352293	971	23322294	974	23292295	977	23252296	981	23222297	984	23192298	987	23152299	992	23143300	995	2311
301	998	2308
302	1002	2305
303	1006	2305
