,기입날짜,별점,옵션,후기,sentiment
0,23.04.14.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",여기꺼만 먹어요~~~,1
1,23.04.14.,5,"삼각티백 종류 선택: 호박차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",붓기잘빶고  맛나여,1
2,23.04.14.,5,"삼각티백 종류 선택: 자스민차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빠르고 아주 좋아요,1
3,23.04.14.,5,"삼각티백 종류 선택: 석류 콤부차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빠르고 아주 좋아요,1
4,23.04.14.,5,"삼각티백 종류 선택: 호박팥차 1g 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",맛이찐하고 좋아용 붓기,1
5,23.04.13.,5,"삼각티백 종류 선택: 우엉차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어머니가 갑자기 당이 높아지셔서 사봤어..효과가 있으시길..,1
6,23.04.13.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",어머니가 갑자기 당이 높아지셔서 사봤어..효과가 있으시길..,1
7,23.04.13.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘 마시겠습니다!!,1
8,23.04.13.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘 마시겠습니다!!,1
9,23.04.13.,5,"삼각티백 종류 선택: 결명자차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","기존에 먹던게 남아서 아직 먹어보진 못했어요
하지만 기대가 됩니다",1
10,23.04.13.,5,"삼각티백 종류 선택: 작두콩차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요","기존에 먹던게 남아서 아직 먹어보진 못했어요
하지만 기대가 됩니다",1
11,23.04.13.,5,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",항상 시켜먹고 있어요 바나바 당뇨에 좋아요,1
12,23.04.13.,5,"삼각티백 종류 선택: 쑥차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","하루만에 배송와서 바로 먹었는데 매우 맛있어요.
유통기한도 26년까지 길고 좋습니다.
포장도 귀여워서 손이 자주 갈것같아요",1
13,23.04.13.,5,"삼각티백 종류 선택: 당귀차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","26년도 까지의 유통기한으로 아주 넉넉하고 
잘 우러나서 회사에서 먹기 좋습니다.
맛도 좋고 건강도 좋아지는 기분이에요",1
14,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","포장깔끔하고
맛도 좋아요",1
15,23.04.13.,5,"삼각티백 종류 선택: 대추차 티백 / 삼각티백 구성 선택: 50티백x1개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","매번 주문하고 있어요
깔끔하고 좋아요",1
16,23.04.13.,5,"삼각티백 종류 선택: 호박팥차 1.5g 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빠르고 좋아용,1
