,기입날짜,별점,옵션,후기,sentiment,
0,23.03.02.,1,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도맛 없어요유통기한임박상품이에요포장별로예요",생각보다 맛이 별로네요,0,
1,23.01.28.,1,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요","삼각티백  건강에 좋지않다고
여기저기 나와서  찝찝해서   먹기부담스럽네요",0,
2,22.11.23.,1,"삼각티백 종류 선택: 바나바잎차 티백 / 삼각티백 구성 선택: 10티백X5개
맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요",바나바 이차는 제인 맛에는 전혀 안 맞는 거 같아요 녹차 보다도 별로인거 같아요 약간 풀 냄새가 나는 거 같구요,0,
3,22.07.15.,1,"삼각티백 종류 선택: 11. 야관문차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한임박상품이에요포장별로예요",그대한통운이라서 싫어요 배송이 왜 이렇게도 늦은거죠?,0,
4,22.06.29.,1,"삼각티백 종류 선택: 06. 배도라지차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도맛 없어요유통기한꽤 남았어요포장별로예요","올 1월에 여러가지 주문하여 마신후에 제일 좋았던 배도라지를 재주문하였는데 농도 진하기가 너무 차이가 납니다. 티백넣고 물을 따랐는데...노랗게 물들었던게 이번에 주문한건 그냥 맹탕이네요. 아무리 넣었다뺐다 흔들어도 차가 안 우려지고 물이 그저 맑네요... 반년만에 변한건가요? 물가 오르고 용량차이 등이 나는건지. 차라리 가격을 올리시지 얼마나 한다고 질이 변합니까? 기존에 먹어보고 정말 감동 받아서 주위 지인들한테도 추천 많이 했었는데..부끄럽네요 이젠. 1월에 구매했던 상품과는 너무 차이가 많이 나요. 두번정도 우린 차 물 색상 입니다. 정말 실망스럽습니다..
1월 구매하고 몇개남은 티백 직장에 놓고 왔는데, 조만간 최근 상품과 농도 차이를 비교하여 사진 첨부해 다시 업데이트 하겠습니다",0,
5,22.06.12.,1,"삼각티백 종류 선택: 25.둥굴레차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장꼼꼼해요",지금껏 먹어본 둥글레 중에 젤 맛없는 둥글레네요;; 고소한맛이라곤 1도없고 저희딸은 먹어보더니 무슨 한약맛이 난다고 뱉어버리네요;; 뭐라 설명하기 힘든 오묘한 맛이예요,0,
6,22.02.23.,1,"삼각티백 종류 선택: 20.쌍화차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요","한약맛이네요ㅋㅋ
제가 기대했던 쌍화차와는 거리가 아주 머네요
배도라지차는 무난한것 같네요",0,
7,22.02.22.,1,"삼각티백 종류 선택: 01. 호박팥차 티백 1g / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요","선물도 하고 재구매도 하고 여러 번 구매중인데 확실히 이전하고 맛이 달라요 리뷰 보니까 다른 분들도 같이 느끼시네요 2개를 넣어도 전혀 진하지 않고 맛이 맹물입니다
맛있다고 지인 선물도 3번이나 했는데 받은 사람들도 너무 실망했을 것 같네요",0,
8,21.10.05.,1,"삼각티백 종류 선택: 10 야관문차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도평범해요유통기한아주 넉넉해요포장별로예요",사진상으로 잘 보일지 모르겠으나 야관문차는 티백 자체에도 부스러기가 많고 따뜻한 물에 우려내니  부유물이 많이 뜨네요. 흐르는 물에 티백 한번 씻어내고 우려 마시는게 좋을듯합니다.,0,
9,21.09.27.,1,"삼각티백 종류 선택: 09 계피차 티백 / 삼각티백 구성 선택: 50티백x2개
맛 만족도맛 없어요유통기한아주 넉넉해요포장적당해요",계피차는 권장하고 싶지 않습니다. 드셔 보신 분들은 다들 공감하실듯합니다. 문의 드리니 계피차는 향으로 마시는거라 하시네요. 우리는데 정말 인내가 필요하고 정말 극소의 따뜻한 물을 넣어주셔야 합니다.,0,
10,21.08.29.,1,"삼각티백 종류 선택: 06.돼지감자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요","세번째 구매인데, 이번에 구매한것은 왜 안우러나요?
그냥 맹물임.  두개나 넣어는데...30분  지난 사진임.",0,
11,21.08.20.,1,"삼각티백 종류 선택: 01.호박팥차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요",맛은 다른곳보다 진해서 여기서 시켜먹어야겠다 라고 생각하고 꾸준히 먹고있습니다. 그런데 머리카락 같은게 나오다뇨.. 위생 무슨 업체 쓰시면서 왜 털이 나오는지 이해가 안가네요 제가 신경안쓰고 자세히 안봤으면 그냥 우려 마셨을수도 있다고 생각하니 너무 찝찝하네요...,0,
12,21.07.06.,1,"삼각티백 종류 선택: 02.호박차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",2번째 구매인데요 첫번째 구매때랑 맛과 색이 달라요ㅠㅠ왜 그런거죠?ㅠㅠ첫번째는 엄청 진하고 갈색이였는데 2번째는 옅은 노란색이에요ㅠ맛이 너무 달라서 잘못 구매한줄 알았네요ㅠ,0,
13,21.03.25.,1,"삼각티백 종류 선택: 02.호박차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장별로예요","인간적으로 티백불량이 너무 많습니다. 100개중에 30개는 나온거 같아요.내용물이 나 빠져나와서 버려야해서 돈아까워요.
티백부분은 개선을 좀 하셔야 할거 같네요.",0,
14,21.03.25.,1,"삼각티백 종류 선택: 01.호박팥차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장별로예요","인간적으로 티백불량이 너무 많습니다. 100개중에 30개는 나온거 같아요.내용물이 나 빠져나와서 버려야해서 돈아까워요.
티백부분은 개선을 좀 하셔야 할거 같네요.",0,
15,21.03.21.,1,"삼각티백 종류 선택: 10 야관문차 티백 / 삼각티백 구성 선택: 50티백x1개
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",음식점에서 맛있게 마셔서 신청했는데 찾는제품이 아니네요...맛없어요,0,
