,기입날짜,별점,옵션,후기
0,23.04.21.,5,배열: 리얼포스 / 디자인: 104키/투명,"빠른배송
깔끔한 마감
확실한제품!"
1,23.04.21.,5,배열: 텐키리스(87키) / 디자인: 투명,키보드에 잘 맞네요. 가격도 저렴하고 추천합니다.
2,23.04.20.,5,배열: 리얼포스 / 디자인: 87키/투명,"완전 사이즈 맞춤이네요!
깔끔하고 완전 좋아요!"
3,23.04.20.,5,배열: 풀배열(104키) / 디자인: 투명,키보드에 먼지가 쌓여서 덮어놓으려고 주문했어요! 사이즈를 재서 사이즈에 맞는걸로 주문했어요. 생각보다 두께가 있고 견고하네요! 잘 쓸게요~~~
4,23.04.20.,5,배열: 텐키리스(87키) / 디자인: 투명,"벌써 두번째 구매입니다.
키보드 먼지에서 탈출하게 해주셔서 너무 감사합니다."
5,23.04.20.,5,배열: 텐키리스(87키) / 디자인: 투명,깔끔합니다. 콕스제품보다 좋네요
6,23.04.19.,5,배열: 텐키리스(87키) / 디자인: 투명,"안전하게 먼지로부터 멀어진 
영롱한 나의 키보드님들"
7,23.04.19.,5,배열: 풀배열(104키) / 디자인: 투명,안전하게 먼지야 저리가라 !!
8,23.04.19.,5,배열: 풀배열(104키) / 디자인: 투명,장시간 사용 안할때가 많은데 먼지 끼이는게 싫어서 구매했어요! 깔끔하고 예뻐요~
9,23.04.19.,5,배열: 텐키리스(87키) / 디자인: 투명,qc문제없고 참 좋네요 기본제공된것은 이제 안녕
10,23.04.19.,5,배열: 포커배열 / 디자인: 포커배열용,"레이저 헌츠맨 미니 쓰고 있는데 정말 딱 맞습니다!
이 키배열에 맞는 케이스 못찾았는데 정말 좋와용"
11,23.04.19.,5,배열: 리얼포스 / 디자인: 104키/투명,잘받았습니다. 잘쓰겠습니다.
12,23.04.19.,5,배열: 풀배열(104키) / 디자인: 투명,굿굿 잔뜩 샀는데 다 예뻐용
13,23.04.18.,5,배열: 풀배열(104키) / 디자인: 투명,키보드에 먼지가 많이 쌓여서 샀는데 딱 맞진 않지만 깔끔하고 만족해요!
14,23.04.18.,5,배열: 텐키리스(87키) / 디자인: 투명,크기가 딱맞아서 좋습니다
15,23.04.18.,5,배열: 풀배열(104키) / 디자인: 블랙,잘받았습니다 좋네요
16,23.04.18.,5,배열: 리얼포스 / 디자인: 87키/투명,좋네요 잘받았습니다
