,Unnamed: 0,기입날짜,별점,옵션,후기
0,0,23.04.21.,5,배열: 리얼포스 / 디자인: 104키/투명,"빠른배송
깔끔한 마감
확실한제품!"
1,1,23.04.21.,5,배열: 텐키리스(87키) / 디자인: 투명,키보드에 잘 맞네요. 가격도 저렴하고 추천합니다.
2,2,23.04.20.,5,배열: 리얼포스 / 디자인: 87키/투명,"완전 사이즈 맞춤이네요!
깔끔하고 완전 좋아요!"
3,3,23.04.20.,5,배열: 풀배열(104키) / 디자인: 투명,키보드에 먼지가 쌓여서 덮어놓으려고 주문했어요! 사이즈를 재서 사이즈에 맞는걸로 주문했어요. 생각보다 두께가 있고 견고하네요! 잘 쓸게요~~~
4,4,23.04.20.,5,배열: 텐키리스(87키) / 디자인: 투명,"벌써 두번째 구매입니다.
키보드 먼지에서 탈출하게 해주셔서 너무 감사합니다."
5,5,23.04.20.,5,배열: 텐키리스(87키) / 디자인: 투명,깔끔합니다. 콕스제품보다 좋네요
6,6,23.04.19.,5,배열: 텐키리스(87키) / 디자인: 투명,"안전하게 먼지로부터 멀어진 
영롱한 나의 키보드님들"
7,7,23.04.19.,5,배열: 풀배열(104키) / 디자인: 투명,안전하게 먼지야 저리가라 !!
8,8,23.04.19.,5,배열: 풀배열(104키) / 디자인: 투명,장시간 사용 안할때가 많은데 먼지 끼이는게 싫어서 구매했어요! 깔끔하고 예뻐요~
9,9,23.04.19.,5,배열: 텐키리스(87키) / 디자인: 투명,qc문제없고 참 좋네요 기본제공된것은 이제 안녕
10,10,23.04.19.,5,배열: 포커배열 / 디자인: 포커배열용,"레이저 헌츠맨 미니 쓰고 있는데 정말 딱 맞습니다!
이 키배열에 맞는 케이스 못찾았는데 정말 좋와용"
11,11,23.04.19.,5,배열: 리얼포스 / 디자인: 104키/투명,잘받았습니다. 잘쓰겠습니다.
12,12,23.04.19.,5,배열: 풀배열(104키) / 디자인: 투명,굿굿 잔뜩 샀는데 다 예뻐용
13,13,23.04.18.,5,배열: 풀배열(104키) / 디자인: 투명,키보드에 먼지가 많이 쌓여서 샀는데 딱 맞진 않지만 깔끔하고 만족해요!
14,14,23.04.18.,5,배열: 텐키리스(87키) / 디자인: 투명,크기가 딱맞아서 좋습니다
15,15,23.04.18.,5,배열: 풀배열(104키) / 디자인: 블랙,잘받았습니다 좋네요
16,16,23.04.18.,5,배열: 리얼포스 / 디자인: 87키/투명,좋네요 잘받았습니다
17,17,23.04.18.,5,배열: 텐키리스(87키) / 디자인: 투명,손가락에 느낌이 너무좋아요 언제까지 이느낌이 지속될지 불안하긴합니딘
18,18,23.04.18.,5,배열: 풀배열(104키) / 디자인: 투명,좋아요잘쓰고있어요 ㅋ
19,19,23.04.17.,5,배열: 텐키리스(87키) / 디자인: 투명,저렴히 잘 샀어용 좋아요
20,20,23.04.17.,5,배열: 텐키리스(87키) / 디자인: 투명,사이즈 디자인 마감 그레이트
21,21,23.04.17.,5,배열: 텐키리스(87키) / 디자인: 투명,견고하고 커버가 잘되어서 좋습니다. 배송도 삘라서 좋았어요 감사합니다.
22,22,23.04.16.,5,배열: 텐키리스(87키) / 디자인: 투명,깔끔하고 생각하던 덮개 커버입니다
23,23,23.04.16.,5,배열: 텐키리스(87키) / 디자인: 투명,품질도 좋고 예뻐요
24,24,23.04.16.,5,배열: 텐키리스(87키) / 디자인: 투명,튼튼하고 깔끔하네요
25,25,23.04.15.,5,배열: 풀배열(104키) / 디자인: 투명,넘 예쁘구 좋아요 . . . 텐키 키보드도 시켜서 텐키버전 덮개도 시킬 예정 . .
26,26,23.04.14.,5,배열: 텐키리스(87키) / 디자인: 투명,아주 맘에 듭니다! 키크론 K8 레트로인데 조금 남긴 하지만 동봉된 고무패킹?? 같은걸로 하면 안 미끄러지고 좋습니다!! 만족만만족
27,27,23.04.14.,5,배열: 텐키리스(87키) / 디자인: 투명,"배송, 포장 모두 좋습니다~
투명 덮개라 다양한 키보드에 정말 잘어울립니다.
받침대 위의 키보드에 사용할 때에도 무리없이 사용가능합니다~"
28,28,23.04.14.,5,배열: 텐키리스(87키) / 디자인: 투명,레이저 헌츠맨 v2 tkl 리니어 딱맞고 개이쁩니다.
29,29,23.04.14.,5,배열: 풀배열(104키) / 디자인: 투명,좋습니다. 사이즈 딱 맞구요.
30,30,23.04.14.,5,배열: 텐키리스(87키) / 디자인: 투명,포장 깔끔하고 튼튼하게 생김
31,31,23.04.14.,5,배열: 리얼포스 / 디자인: 87키/투명,화사에서 사려고 씀 튼튼해 보이고 좋음
32,32,23.04.13.,5,배열: 풀배열(104키) / 디자인: 투명,"제 키보드에 잘 맞을까 걱정했는데 생각보다 괜찮네요!
완전 딱 타이트하게 맞는건 아니고 약간 덜컹거리긴 하지만 이정도면 가격대비 좋은거 같아요. 키캡까지만이라도 딱 가려지니까 만족합니다. 완전 타이트한걸 원하시는 분들은 불편할수도 있어요!"
33,33,23.04.13.,5,배열: 리얼포스 / 디자인: 87키/투명,배송 빠르고 좋습니다
34,34,23.04.13.,5,배열: 풀배열(104키) / 디자인: 투명,배송 빠르고 좋습니다
35,35,23.04.13.,5,배열: 텐키리스(87키) / 디자인: 투명,배송 빠르고 좋습니다
36,36,23.04.13.,5,배열: 텐키리스(87키) / 디자인: 투명,커세어 K70 TKL 사용하고 있습니다. 사이즈 딱 맞네요.
37,37,23.04.12.,5,배열: 텐키리스(87키) / 디자인: 투명,"대박 완전 딱맞고 멋져요
고앵이털이 자꾸 들어가서 청소 싹하고 씌웠더니 멋드러집니다!!! 추천해요 완전
인테리어적으로도 깰끔"
38,38,23.04.12.,5,배열: 텐키리스(87키) / 디자인: 투명,단단하고 깨끗해서 좋습니다
39,39,23.04.12.,5,배열: 텐키리스(87키) / 디자인: 투명,"여기서 키보드 구입하고 뒤늦은 주말에 아크릴 커버 추가 구매 문의 드렸는데, 빠르게 대응해주셔서 감사했습니다. 상품도 다행히 흠집 없이 잘 도착했네요. 번창하세요!"
40,40,23.04.12.,5,배열: 텐키리스(87키) / 디자인: 투명,대존예 추천 드립니다! 그러나 같이 주시는 실리콘은 독한 냄새가 너무 나서 버렸습니다..... 아크릴 본품이 좋으니까 상관 없습니다
41,41,23.04.12.,5,배열: 텐키리스(87키) / 디자인: 투명,사이즈 딱 맞고 좋아요!!
42,42,23.04.11.,5,배열: 텐키리스(87키) / 디자인: 투명,배송도 빠르고 포장 또한 엄청 겹겹이 보내주어서 이상없이 잘 받았습니다. 회사에서 여러 키보드를 사용 중인데 엠스톤 키보드에는 당연히 잘 어울렸고 타사의 키보드 또한 사이즈도 알맞았고 투명이다 보니 키보드별 특징이나 디자인을 헤치지 않아서 매우 만족합니다~
43,43,23.04.11.,5,배열: 텐키리스(87키) / 디자인: 투명,만듦새가 좋아요 잘 쓰겠습니다.
44,44,23.04.11.,5,배열: 텐키리스(87키) / 디자인: 투명,모서리가 좀 날카로워서 조심해야할듯
45,45,23.04.11.,5,배열: 리얼포스 / 디자인: 104키/투명,키크론k10 프로보다 조금 큰데 동봉된 고무 끼우니 딱 맞아요
46,46,23.04.11.,5,배열: 포커배열 / 디자인: 포커배열용,앤프로2에 딱 맞아요!
47,47,23.04.10.,5,배열: 해피해킹(HHKB) / 디자인: 해피해킹용,저렴한 가격에 구입할 수 있어서 좋아요
48,48,23.04.10.,5,배열: 텐키리스(87키) / 디자인: 투명,기본으로 제공되는 루프가 있긴 하지만 아크릴 소재가 튼튼하고 깔끔해보여서 구매했어요! 사이즈도 딱이고 맘에 듭니당 ㅎㅎ
49,49,23.04.09.,5,배열: 텐키리스(87키) / 디자인: 투명,튼튼하고 깔끔하니 딱 좋아요!! :)
50,50,23.04.08.,5,배열: 텐키리스(87키) / 디자인: 투명,"가격대비 굉장히 고급스러운 것 같네요. 각인이 랜덤이라 살짝 걱정했는데, 딱 제가 원했던 엠스톤 각인이 나와서 정말 마음에 들었네요. 깔끔하게 키보드 보관하기 좋아요."
51,51,23.04.08.,5,배열: 풀배열(104키) / 디자인: 블랙,빠른 배송 잘 쓰겠습다.지문관리필수
52,52,23.04.08.,5,배열: 리얼포스 / 디자인: 87키/투명,큰거 작은거 같이 시켰는데 모두 잘 맞아요.
53,53,23.04.08.,5,배열: 리얼포스 / 디자인: 104키/투명,"리얼포스는 키보드가 규격보다 크게나와서, 딴건 안맞아요.
큰거 작은거 같이 시켰는데. 포장 잘해서 보내주셨네요."
54,54,23.04.08.,5,배열: 텐키리스(87키) / 디자인: 투명,새로산 키보드와 딱 맞습니다.
55,55,23.04.08.,5,배열: 텐키리스(87키) / 디자인: 투명,키보드사면 들어있는 플라스틱 뚜껑만 쓰다가 제대로된 루프를 사봤는데 기대 이상입니다. 콕스 엔데버 사용중인데 사이즈 딱맞고 좋습니다. 배송도 하루만에 왔어요.
56,56,23.04.07.,5,배열: 텐키리스(87키) / 디자인: 투명,헌츠맨 tkl에 딱이네요 맘에듭니다
57,57,23.04.07.,5,배열: 텐키리스(87키) / 디자인: 투명,깔끔하고 보기 좋아요 ㅎㅎ
58,58,23.04.06.,5,배열: 풀배열(104키) / 디자인: 블랙,"여자친구가 너무 좋아해요^^
최고👍"
59,59,23.04.06.,5,배열: 풀배열(104키) / 디자인: 투명,"여자친구가 너무 좋아해요^^
최고👍"
60,60,23.04.06.,5,배열: 텐키리스(87키) / 디자인: 투명,이쁘고 만족합니다.
61,61,23.04.06.,5,배열: 텐키리스(87키) / 디자인: 투명,책상이 깔끔해져서 너무 좋아요!
62,62,23.04.05.,5,배열: 텐키리스(87키) / 디자인: 투명,배송이 매우빠르네요
63,63,23.04.05.,5,배열: 해피해킹(HHKB) / 디자인: 해피해킹용,해피해킹 키보드에 딱 맞고 아주 좋습니다.
64,64,23.04.05.,5,배열: 풀배열(104키) / 디자인: 투명,좋아요 감사합니다ㅎㅎ
65,65,23.04.05.,5,배열: 텐키리스(87키) / 디자인: 투명,텐키리스 루프 투명. 사진엔 안 씌운것처럼 보이네요... 사이즈 잘 맞고 키보드가 더 고급스러워 보이네요
66,66,23.04.05.,5,배열: 풀배열(104키) / 디자인: 블랙,풀배열 아크릴 루프 블랙 고급스러워 보이네요. 사진이 많이 비쳐보이는데 사진보다는 덜 비쳐요
67,67,23.04.05.,5,배열: 텐키리스(87키) / 디자인: 투명,모서리가 좀 날카롭긴 하지만 좋습니다 깔끔하고
68,68,23.04.04.,5,배열: 텐키리스(87키) / 디자인: 투명,"레이저 헌츠맨 v2 tkl 사용 중인데
사이즈 딱 맞습니다"
69,69,23.04.04.,5,배열: 풀배열(104키) / 디자인: 투명,키보드 덮개 매우 멋진 훌륭한.
70,70,23.04.03.,5,배열: 텐키리스(87키) / 디자인: 투명,너무 이쁘네요 기본주는 아크릴 커버도 괜찮겠지만 아크릴도 디지게 이쁘네용
71,71,23.04.03.,5,배열: 텐키리스(87키) / 디자인: 투명,"아콘 FX2 사진입니다.
하우징까지 덮지는 못하지만, 키캡은 전부 덮습니다."
72,72,23.04.03.,5,배열: 리얼포스 / 디자인: 87키/투명,리얼포스에 딱 맞게 왔습니다.
73,73,23.04.03.,5,배열: 리얼포스 / 디자인: 87키/투명,더키 원 3 쓰는데 리얼포스2랑 사이즈 비슷해서 구매했습니다. 잘 맞네요
74,74,23.04.01.,5,배열: 텐키리스(87키) / 디자인: 투명,포장이 너무 튼튼하게 잘 되어 있어 감동었어요. 감사합니다!
75,75,23.04.01.,5,배열: 포커배열 / 디자인: 포커배열용,가성비 최고의 루프! 너무 만족합니다
76,76,23.03.31.,5,배열: 텐키리스(87키) / 디자인: 투명,딱맞음 단 모서리가 좀 아쉬움
77,77,23.03.31.,5,배열: 해피해킹(HHKB) / 디자인: 해피해킹용,딱맞는 크기가좋은. 모서리가 좀날카롭긴함
78,78,23.03.31.,5,배열: 풀배열(104키) / 디자인: 투명,사무실에 먼지가 많아서 키보드에 씌워두려고 샀습니다 좋아요~
79,79,23.03.31.,5,배열: 텐키리스(87키) / 디자인: 투명,깔끔하고 사이즈도 잘 밎네요 ㅎㅎ
80,80,23.03.30.,5,배열: 풀배열(104키) / 디자인: 블랙,괜찮아서 또 샀어요
81,81,23.03.29.,5,배열: 텐키리스(87키) / 디자인: 투명,아크릴 덮개 살지 말지 고민했는데 고급져보이고 더 예뻐보여요! 만족합니다
82,82,23.03.28.,5,배열: 풀배열(104키) / 디자인: 투명,포장 굉장히 꼼꼼하네요 제품도 좋습니다
83,83,23.03.27.,5,배열: 풀배열(104키) / 디자인: 투명,생각보다 견고하네요~~
84,84,23.03.25.,5,배열: 텐키리스(87키) / 디자인: 투명,배송이 빠르고 가성비 좋네요. Q3에 잘 사용할께요.
85,85,23.03.24.,5,배열: 풀배열(104키) / 디자인: 투명,"깔끔하게 딱 떨어집니다.
너무 만족하며 사용하고 있습니다"
86,86,23.03.24.,5,배열: 텐키리스(87키) / 디자인: 투명,가격도 좋고 딱 맞습니다 좋아요
87,87,23.03.22.,5,배열: 풀배열(104키) / 디자인: 투명,체리 mx  3.0 풀배열 사용중인데 완전 정확히는 아니지만 사이즈 잘 맞고 좋아여 ㅎㅎ 진작 살걸 그랬네요
88,88,23.03.22.,5,배열: 텐키리스(87키) / 디자인: 투명,완전 딱 들어맞진 않지만 텐키배열 키보드 크기에 잘 맞아서 먼지 들어가지 않게 잘 보호할 수 있을 것 같아요. 맘에 듭니다
89,89,23.03.22.,5,배열: 풀배열(104키) / 디자인: 투명,사이즈를 잘못 주문해서 직접 수정했지만 처음 사용하는 키보드 커버 튼튼하고 좋아요
90,90,23.03.21.,5,배열: 텐키리스(87키) / 디자인: 투명,"택배도착문자가 왔을때 밖에 던지는 소리가 나서 걱정했는데 상품 포장을 보니깐 걱정이 다 없어지네요 2중포장을 뽁뽁이까지  야무지게 포장되어있네요 
k8 pro 알루미늄 프레임에 잘맞아요 고무 끼워야지 안 미끄러워서 고정이 잘 돼요"
91,91,23.03.21.,5,배열: 풀배열(104키) / 디자인: 투명,빠른배송감사합니다.
92,92,23.03.20.,5,배열: 68BT / 디자인: 투명,한성 무접점 키보드 gk868b모델에 완벽하게 딱 맞아요. 미세한 차이로 못쓰게될까봐 걱정했는데 다행이에요 ㅠㅠ
93,93,23.03.20.,5,배열: 텐키리스(87키) / 디자인: 투명,기본 제공되는 뚜껑도 튼튼하지만.. 좀 더 안전하게 보관하고 싶어서 구매했어요
94,94,23.03.20.,5,배열: 텐키리스(87키) / 디자인: 투명,아주 튼튼하고 깔끔합니다
95,95,23.03.20.,5,배열: 풀배열(104키) / 디자인: 투명,"확실히 있는것과 없는게 차이가 많이 납니다. 
본인만 깜빡하지않으면, 키보드에 먼지가 평소보다 덜 쌓이고, 덮개에 쌓인 먼지를 보면 뿌듯합니다. 

청소도 간편해서 흐르는 물에 씻어내고 건조 후 사용하면 편리합니다."
96,96,23.03.18.,5,배열: 텐키리스(87키) / 디자인: 투명,잘받았습니다. 수고하세요.
97,97,23.03.18.,5,배열: 텐키리스(87키) / 디자인: 투명,콕스에데버에 안 맞을까봐 걱정했는데 맞네요.
98,98,23.03.18.,5,배열: 풀배열(104키) / 디자인: 투명,사이즈가 딱 맞아서 너무 좋네요
99,99,23.03.17.,5,배열: 텐키리스(87키) / 디자인: 투명,예뻐요!! 두 말 필요없이 그냥 예쁩니다
100,100,23.03.17.,5,배열: 텐키리스(87키) / 디자인: 투명,텐키리스 제품은 다 잘맞는거같아요
101,101,23.03.17.,5,배열: 텐키리스(87키) / 디자인: 투명,사이즈깔끔하게떨어지고 만족합니다.
102,102,23.03.16.,5,배열: 텐키리스(87키) / 디자인: 투명,빠른 배송 감사합니다.
103,103,23.03.16.,5,배열: 텐키리스(87키) / 디자인: 투명,말이 필요없죠 ~ 최곱니다 ^^
104,104,23.03.16.,5,배열: 텐키리스(87키) / 디자인: 투명,깔끔하고 이쁘네요 역시 엠스톤이네여
105,105,23.03.16.,5,배열: 텐키리스(87키) / 디자인: 투명,체리 텐키리스에 딱 맞네영 기스없이 잘 왔어요 ㅎㅎ
106,106,23.03.15.,5,배열: 텐키리스(87키) / 디자인: 투명,"키보드 먼지들어가는거 싫어하시는 분께 추천드립니다 

다만 미관을 별 신경쓰지 않는 타입이라면 그냥 키보드 사면 주는 플라스틱 커버로도 충분할 것 같다는 생각은 듭니다 ㅋㅋㅋ

잘 사용할게요!"
107,107,23.03.15.,5,배열: 텐키리스(87키) / 디자인: 투명,적정한 가격에 제품도 깔끔하고 좋네요. 키크론 Q3 사이즈 딱 맞습니다
108,108,23.03.15.,5,배열: 텐키리스(87키) / 디자인: 투명,잘맞아요 잘쓰겠습니다
109,109,23.03.15.,5,배열: 텐키리스(87키) / 디자인: 투명,사이즈도 잘 맞고 맘에 들어요 ~
110,110,23.03.14.,5,배열: 텐키리스(87키) / 디자인: 투명,텐키리스 제품에 완전 잘 어울려요!!! 추가로 또 구매할듯
111,111,23.03.14.,5,배열: 텐키리스(87키) / 디자인: 투명,키보드 청소부터 해야하는데 일단 좋은거같아요 튼튼하고
112,112,23.03.12.,5,배열: 풀배열(104키) / 디자인: 투명,빠른배송 감사합니다.
113,113,23.03.12.,5,배열: 텐키리스(87키) / 디자인: 투명,빠른배송 감사합니다.
114,114,23.03.12.,5,배열: 텐키리스(87키) / 디자인: 투명,너무 좋아요 먼지쌓이는걸 막아주네요
115,115,23.03.11.,5,배열: 텐키리스(87키) / 디자인: 투명,키크론 Q3에 딱 맞아요! 먼지도 쌓일 걱정 안해도 되고 투명한 디자인도 딱입니다 :)
116,116,23.03.11.,5,배열: 텐키리스(87키) / 디자인: 투명,좋습니다 이제서야 리뷰하네요
117,117,23.03.11.,5,배열: 텐키리스(87키) / 디자인: 투명,깔끔합니다! 굿굿굿
118,118,23.03.11.,5,배열: 텐키리스(87키) / 디자인: 투명,"키보드 청소 주기가 길어질 것 같아요ㅋㅋ
기스 나지 않도록 포장도 꼼꼼하고 본품도 튼튼하고 좋아요 : )"
119,119,23.03.10.,5,배열: 리얼포스 / 디자인: 87키/투명,사이즈 딱 맞고 적절하게 사용중입니다~~
120,120,23.02.26.,5,배열: 포커배열 / 디자인: 포커배열용,"커세어 k70 mini wireless에 깔맞춤이네요
잘쓰겠습니다"
121,121,23.02.26.,5,배열: 포커배열 / 디자인: 포커배열용,크기 딱 맞고 튼튼해서 너무 좋아요
122,122,23.02.26.,5,배열: 풀배열(104키) / 디자인: 투명,앱코 k641 키보드에 잘 안 맞추면 키보드가 눌리긴 하지만 잘 맞춰 넣으면 괜찮아요 제 키보드는 후기가 없어서 불안했는데 완전 추천해요!
123,123,23.02.25.,5,배열: 풀배열(104키) / 디자인: 투명,투명하고 앱코 k515랑 사이즈도 딱 맞아요!
124,124,23.02.25.,5,배열: 풀배열(104키) / 디자인: 투명,배송 잘 됐고 키보드랑 딱 맞아서 좋아용
125,125,23.02.25.,5,배열: 풀배열(104키) / 디자인: 투명,만족스럽습니다! 키보드에 딱 맞는데 단점은 모서리부분이 좀 날카로워 보입니다!
126,126,23.02.24.,5,배열: 풀배열(104키) / 디자인: 블랙,고급...그자체...
127,127,23.02.24.,5,배열: 풀배열(104키) / 디자인: 투명,와ㅠㅠ 가격도 저렴한데 너무 너무 좋아요ㅠㅠ 로지텍mx 메카니컬(텐키 포함)에 딱 맞습니다!
128,128,23.02.24.,5,배열: 풀배열(104키) / 디자인: 투명,깔끔하구 좋아요 덱헤슘에 딱 맞아요 넘버패드용도 있으면 좋을텐데ㅠ
129,129,23.02.24.,5,배열: 풀배열(104키) / 디자인: 블랙,배송빠르고 만족합니다
130,130,23.02.21.,5,배열: 텐키리스(87키) / 디자인: 투명,생각보단 내구도가 좋아서 놀랐습니다 제가 실수로 한번 깔아뭉겠는데 흠집하나 안나서 놀랐습니다 이제품 추천!
131,131,23.02.18.,5,배열: 68BT / 디자인: 투명,배송 완전빠르고.. 68키 사이즈에 딱 맞아요.. 제 아가를 먼지로부터 보호해주고요.. 생각보다 가볍고 너무 예쁩니다.. 넘 만족스럽네요.
132,132,23.02.17.,5,배열: 풀배열(104키) / 디자인: 투명,엠스톤 풀배열 키보드랑 찰떡이네요
133,133,23.02.16.,5,배열: 풀배열(104키) / 디자인: 투명,"덱헤슘프로 108키에 덮을 루프로 구매했습니다. 
사이즈 딱 맞네요. 
배송도 매우 빠르게 오고 포장도 꼼꼼하게 잘 보내주셨습니다. 
저번에 미니배열루프도 구매했었는데 제품 퀄리티나 마감 상태등이 생각보다 훨씬 좋네요."
134,134,23.02.16.,5,배열: 68BT / 디자인: 투명,"로프리 투명 키보드 1% 68키 사이즈에 딱입니다,,, ❤ 참고하셔서 예쁘고 소중한 내 키보드에 먼지를 차단하세요:)! 다행히도 흠집은 없었고, 작은 이물질? 같은게 묻어있었는데 안닦이더라구여 반품/교환하기 귀찮아서 그냥 쓰려구여ㅎ"
135,135,23.02.16.,5,배열: 텐키리스(87키) / 디자인: 투명,좋아요 잘 쓰고 있어요 다음에도 필요하면 구매하려구요 근데 재고 기다리느라 두어 달 걸린 것 같아요
136,136,23.02.15.,5,배열: 텐키리스(87키) / 디자인: 투명,키감이 매우 우수하여 매우만족하며 잘 사용하고 있습니다.
137,137,23.02.15.,5,배열: 포커배열 / 디자인: 포커배열용,k70 미니에 딱 맞아요
138,138,23.02.14.,5,배열: 포커배열 / 디자인: 포커배열용,헌츠맨 미니 포커배열에 최고예요!!
139,139,23.02.14.,5,배열: 68BT / 디자인: 투명,한성 무접점 티코입니다. 잘 맞습니다
140,140,23.01.31.,5,배열: 텐키리스(87키) / 디자인: 투명,토체티에 아주 딱 맞네요! 함께 주신 고무가이드 끼우고 잘맞네요. 감사합니다.
141,141,23.01.31.,5,배열: 리얼포스 / 디자인: 87키/투명,만족합니다 만족합니다.
142,142,23.01.31.,5,배열: 리얼포스 / 디자인: 104키/투명,만족합니다 만족합니다.
143,143,23.01.31.,5,배열: 텐키리스(87키) / 디자인: 투명,맘에드네요 감사해요
144,144,23.01.30.,5,배열: 68BT / 디자인: 투명,아주잘사용하고있습니다
145,145,23.01.30.,5,배열: 풀배열(104키) / 디자인: 투명,좋아요...잘쓰고있어요..
146,146,23.01.30.,5,배열: 68BT / 디자인: 투명,"지난번 검색때 68BT용 커버는 재고가 없어서 기다리다 잊고있었는데 이번에 구매하게 되었습니다
안전하게 공기 뽁뽁이로 꼼꼼하게 포장되고 빠르게 배송되었습니다
지난번 포커배열 커버는 모서리가 뾰족하게 모나기는 했지만 68BT용은 전혀 그렇지 않고 둥글게 되어져있어서 매우 만족합니다 ^^"
147,147,23.01.30.,5,배열: 68BT / 디자인: 투명,"케이스만 끼웠는데 새제품 된 것 같은 느낌 ㅎㅎ
사이즈 안맞을까봐 걱정했는데 찰떡이네요! 단단하고 깨끗한 투명이라 좋습니다! 이제 먼지걱정 그만"
148,148,23.01.29.,5,배열: 텐키리스(87키) / 디자인: 투명,예쁘고 좋아요 만족합니다
149,149,23.01.29.,5,배열: 텐키리스(87키) / 디자인: 투명,레오폴드 텐키리스에 잘 맞아요
150,150,23.01.28.,5,배열: 68BT / 디자인: 투명,날카롭다는 리뷰 보고 걱정했는데 날카로운 부분도 없고 잔기스도 별로 없고 마감도 깔끔한걸로 왔어요
151,151,23.01.27.,5,배열: 풀배열(104키) / 디자인: 블랙,생각보다 견고하고 좋아요
152,152,23.01.27.,5,배열: 텐키리스(87키) / 디자인: 투명,레오폴드 FC750R 사용 중이고 잘 맞습니다.
153,153,23.01.27.,5,배열: 텐키리스(87키) / 디자인: 투명,레오폴드 FC750R 사용 중이고 잘 맞습니다.
154,154,23.01.27.,5,배열: 포커배열 / 디자인: 포커배열용,키보드 루프 사이즈가 딱 맞아서 좋습니다
155,155,23.01.27.,5,배열: 텐키리스(87키) / 디자인: 투명,튼튼하고 좋아요! 키보드 관리가 편할거 같습니다
156,156,23.01.26.,5,배열: 텐키리스(87키) / 디자인: 투명,"배송 정말 빠르고 제품도 좋아요
키크론 k8 pro 완전 맞춤"
157,157,23.01.26.,5,배열: 풀배열(104키) / 디자인: 투명,사무실도 집도 여전히 잘 쓰고 있어요!
158,158,23.01.26.,5,배열: 리얼포스 / 디자인: 87키/투명,리얼포스 r3에 사용하는데 좌우는 좀 여유있는데 위아래가 너무 꽉껴서 덮어둘때 키캡에 안닿을수가 없어요 ㅠㅠ 스티커는 제가 붙엿는데 너무 귀여워요 히히
159,159,23.01.26.,5,배열: 풀배열(104키) / 디자인: 블랙,먼지가 많이 줄었어요
160,160,22.12.28.,5,배열: 풀배열(104키) / 디자인: 투명,"먼지 방지해줘서 좋아요
잘쓰고 있습니다"
161,161,22.12.26.,5,배열: 텐키리스(87키) / 디자인: 투명,키보드 보호 잘 됩니다.
162,162,22.12.25.,5,배열: 풀배열(104키) / 디자인: 투명,깔끔한 디자인이라 좋아요
163,163,22.12.24.,5,배열: 텐키리스(87키) / 디자인: 블랙,키보드에 딱맞고 좋아요
164,164,22.12.24.,5,배열: 풀배열(104키) / 디자인: 투명,완전 키보드에 딱이에용
165,165,22.12.24.,5,배열: 텐키리스(87키) / 디자인: 투명,아주 잘 사용하고 있습니다
166,166,22.12.23.,5,배열: 풀배열(104키) / 디자인: 투명,"배송 빠르고, 사이즈가 딱 맞기도 하고, 제 키보드가 엄청 더 이뻐보이는 커다란 장점이 있네요.

만족도 높아요!"
167,167,22.12.22.,5,배열: 풀배열(104키) / 디자인: 투명,"포장이 엄청 잘 되어서 오네요.
덱헤슘쓰는데 사이즈도 딱 맞고 깔끔하네요."
168,168,22.12.21.,5,배열: 풀배열(104키) / 디자인: ★블랙,저렴하게 좋은 제품 구매했습니다.
169,169,22.12.21.,5,배열: 텐키리스(87키) / 디자인: 투명,저렴하게 좋은 제품 구매했습니다.
170,170,22.12.21.,5,배열: 68BT / 디자인: 투명,Mojo 68 딱맞아요! 포인트 키캡잇으면 안들어가지만 생각보다 잘맞아서 맘에듭니당
171,171,22.12.21.,5,배열: 풀배열(104키) / 디자인: 투명,"배송도 하루만에 잘 왔고, 상품도 마음에 듭니다.
키보드 안쓸때마다 덮어두는데 미적으로 보기에도 깔끔해보이고 좋아요! 다만 모서리부분이 매우 날카롭기때문에 손 조심해야할 것 같아요!"
172,172,22.12.20.,5,배열: 풀배열(104키) / 디자인: 투명,키보드에 딱 맞아서 좋네요
173,173,22.12.20.,5,배열: 풀배열(104키) / 디자인: 블랙,좋긴한테 사이즈가 안맞네요
174,174,22.12.20.,5,배열: 풀배열(104키) / 디자인: 투명,"투명 풀배열 키보드 예뻐요
키보드 먼지 보호 차원에서
구매한거여서 감사히 잘 사용하겠습니다 ^^"
175,175,22.12.19.,5,배열: 텐키리스(87키) / 디자인: 투명,"깔끔하고 이뻐요
먼지 안 쌓이니 정말 좋구요"
176,176,22.12.19.,5,배열: 풀배열(104키) / 디자인: 투명,먼지가 잘 안들어가서 좋아요
