,기입날짜,별점,옵션,후기
0,23.03.01.,5,"선택: 07.갓볶은 보리차 500g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",2+1이란 제목에 낚인기분.
1,23.03.23.,5,"선택: 10.갓볶은 모과차 200g
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",꼼꼼히 안읽어본 내 잘못인건가.
2,23.03.28.,5,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다.
3,23.03.26.,5,"선택: 10.갓볶은 모과차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다.
4,23.03.26.,1,"구성: 티백 / 선택: 05.대추생강차 20T(1.5gx20개입)
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",ㅋㅋㅋ 모과는 좀 그래요~~~~
5,23.03.23.,2,"선택: 01.갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",생각보다 맛 괜찬아요 구수하고 좋아여 당뇨에 많은 도움 되었으면 합니다
6,23.03.14.,3,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",모과향이 많이 나질 않아요ㅜ
7,23.04.13.,3,"선택: 05.갓볶은 여주차 100g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",잘 먹고 있습니다~^^
8,23.04.11.,3,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",모르는 맛이 궁금 했는데  쫌... 담에는 아는 맛을 주문해야겠어요
9,23.04.10.,3,"선택: 01.갓볶은 돼지감자차 200g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",보틀 줘서 너무너무 고마워요
10,23.04.08.,3,"선택: 12.갓볶은 우엉차 300g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘우려나고 좋은데 부서러기가 좀 많네요
11,23.04.02.,4,"선택: 04.갓볶은 둥굴레차 300g
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",먹기에 편하고 위생적으로 아주 만족합니다
12,23.04.01.,4,"선택: 11.갓볶은 도라지차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송도빠르고제품도만족합니다
13,23.03.31.,4,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛잇어모~재구매할게요
14,23.03.31.,4,"선택: 03.갓볶은 돼지감자차 200g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",돼지감자차는 처음 먹어보는데
15,23.03.31.,4,"선택: 05.갓볶은 여주차 100g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",쓴맛이 나는게 제취향은 아니네요.
16,23.03.28.,4,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",모과를 좀 많이 넣었더니 첨엔 새콤하던 맛이 씁쓸해지내요~
17,23.03.28.,4,"선택: 10.갓볶은 모과차 200g
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",아직  시음을  안해서 맛은  모르겠지만 
18,23.03.26.,4,"선택: 01.갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",포장상태  깔끔하고  비염이  심해
19,23.03.26.,4,"선택: 07.갓볶은 보리차 500g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",물대신  마셔려고  구매했어요
20,23.03.01.,5,"선택: 07.갓볶은 보리차 500g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",2+1이란 제목에 낚인기분.
21,23.03.23.,5,"선택: 10.갓볶은 모과차 200g
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",꼼꼼히 안읽어본 내 잘못인건가.
22,23.03.28.,5,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다.
23,23.03.26.,5,"선택: 10.갓볶은 모과차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다.
24,23.03.26.,1,"구성: 티백 / 선택: 05.대추생강차 20T(1.5gx20개입)
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",ㅋㅋㅋ 모과는 좀 그래요~~~~
25,23.03.23.,2,"선택: 01.갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",생각보다 맛 괜찬아요 구수하고 좋아여 당뇨에 많은 도움 되었으면 합니다
26,23.03.14.,3,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",모과향이 많이 나질 않아요ㅜ
27,23.04.13.,3,"선택: 05.갓볶은 여주차 100g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",잘 먹고 있습니다~^^
28,23.04.11.,3,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",모르는 맛이 궁금 했는데  쫌... 담에는 아는 맛을 주문해야겠어요
29,23.04.10.,3,"선택: 01.갓볶은 돼지감자차 200g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",보틀 줘서 너무너무 고마워요
30,23.04.08.,3,"선택: 12.갓볶은 우엉차 300g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘우려나고 좋은데 부서러기가 좀 많네요
31,23.04.02.,4,"선택: 04.갓볶은 둥굴레차 300g
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",먹기에 편하고 위생적으로 아주 만족합니다
32,23.04.01.,4,"선택: 11.갓볶은 도라지차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송도빠르고제품도만족합니다
33,23.03.31.,4,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛잇어모~재구매할게요
34,23.03.31.,4,"선택: 03.갓볶은 돼지감자차 200g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",돼지감자차는 처음 먹어보는데
35,23.03.31.,4,"선택: 05.갓볶은 여주차 100g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",쓴맛이 나는게 제취향은 아니네요.
36,23.03.28.,4,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",모과를 좀 많이 넣었더니 첨엔 새콤하던 맛이 씁쓸해지내요~
37,23.03.28.,4,"선택: 10.갓볶은 모과차 200g
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",아직  시음을  안해서 맛은  모르겠지만 
38,23.03.26.,4,"선택: 01.갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",포장상태  깔끔하고  비염이  심해
39,23.03.26.,4,"선택: 07.갓볶은 보리차 500g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",물대신  마셔려고  구매했어요
40,23.03.22.,4,"선택: 04.갓볶은 둥굴레차 300g
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요",효과가   있었음  좋겠어요
41,23.03.21.,4,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요",여주차와 같이 마시려고 구매했어요.
42,23.03.16.,4,"선택: 09.갓볶은 비트차 400g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",여주차와 같이 마셨더니 쓴맛도 없고 좋아요.
43,23.03.15.,4,"선택: 02.갓볶은 우엉차 300g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",매일매일 잘 마시고 있어요.
44,23.03.10.,5,"선택: 03.갓볶은 돼지감자차 200g
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요",생각보다 쓰지도 않고 우려먹었더니 괜찮아요.
45,23.02.18.,5,"구성: 01.우고래빗 갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",쓰다고해서 돼지감자차랑같이 구매해서 마셨더니  쓴맛은 없더라구요.
