,기입날짜,별점,옵션,후기
0,22.01.28.,1,배열: 104키 / 색상: ◎퍼플러 / 스위치: 코랄축(45g),부셔서 갖다버립니다. 한영키 레지스트리 설치해도 제대로 먹지도 않고 작업하는 도중에 수없이 한영키가 안먹혀서 재부팅을 몇번씩 합니다. 너무 쓰기 짜증나요. 16만원으로 똥밟았어요 다시는 이 브랜드꺼 쳐다도 안봅니다.
1,21.12.03.,1,배열: 104키 / 모델: ☆클라리온2(코랄축45g),강 팔아버림요 최악 아래껄로 바꿔버림
2,21.10.21.,1,배열: 104키 / 모델: ☆클라리온2(코랄축45g),찌걱임 많고 통울림 많아요 차리리 바밀로 키보드사세요
3,21.10.20.,1,배열: 87키 / 모델: ☆클라리온2(갈축35g),환불처리 안좋네요.
4,22.07.03.,2,배열: 87키 / 색상: 라이트그레이(MA) / 스위치: 밀키축(45g),적당합니다적당합나더
5,22.06.01.,2,배열: 87키 / 색상: 라이트그레이(MA) / 스위치: 밀키축(45g),"어디 스테빌은 유격작업이 되어있고
어딘 안되어있고?  불량아닌가요?
스페이스바는 과윤활로 흥건이 젖어나와있길래
닦아주었고
기본키캡은 손상은 없지만 오염이 심하고..
제 후기는 돈 값 못한다."
6,22.05.06.,2,배열: 87키 / 색상: 다크그레이 / 스위치: 저소음적축(35g),윤활 덜되있어요 별로입니다
7,22.03.05.,2,배열: 104키 / 색상: 다크그레이 / 스위치: 코랄축(45g),"뽁뽁이로 둘둘 감고 비닐포장만 되어 있어서 그런지
배송중 충격에 의해 키캡 3개가 빠져있었습니다.
그외에도 눌러보니 수십개의 키가 약간씩 빠져있었습니다.
F6번 키캡에 기스도 심하고요 스페이바는 다른 스테빌키에 비해
윤활이 안되어 있는게 아닌가 싶을정도로 편차가 심합니다"
8,22.01.28.,2,배열: 104키 / 모델: ◆다크시티(저소음적축35g),이거 사고 사용한 지 2주도 안 돼서 키 씹힘 현상 때문에 당근마켓 처리함; 황당합니다 진짜.
9,21.12.30.,2,배열: 104키 / 모델: ☆클라리온2(적축45g),서비스 대응 좋으시고 다좋은데 키보드 그래도 가격이 높은 편인데 포장이 너무 부실하네요… 박스 찍혀서왓습니다.. 아무리 그래도 박스포장은 해서 와야 하지 않나요?? 에어캡에 봉투로 포장하는건 먼가요?? 원가 절감하는것도 아니고.. 이건 좀 아닌듯 하네요..
10,21.12.05.,2,배열: 87키 / 모델: ▲다크그레이(코랄축45g),"코랄축 구매해서 걸림은 좋은데

스프링 소리가 너무 심하네요.

풀윤활버전 산게 맞나싶네요 

재윤활 받고 싶은정도예요,,

기판 테이핑모드했는데도 너무 심하네요

구분감 걸림은 좋은데 소리가 너무심해요.."
11,21.11.29.,2,배열: 104키 / 모델: ◆다크시티(저소음적축35g),"정말 오래 기다려서 입고알림 오자마자 바로 구입했습니다. 그만큼 기대도 많이 한 제품이었는데, 일단 풀윤활 제품인 만큼 타 사의 저소음적축과 비교했을 시 타건의 느낌이라든가 키감이 다른 건 확실합니다. 구매 전에 키압 35와 45 중 고민을 엄청 하다 35로 구입했는데, 솔직히 45로 잘못 온 거 아닌가? 싶을 정도로 키압이 좀 뻑뻑? 먹먹? 한 감이 있네요. 다들 키압이 너무 가벼워서 오타가 막 난다, 손가락만 얹었는데도 키가 눌린다는데 그 정도까진 아닙니다. 그리 가볍다 느껴지지 않아요. 그리고 스페이스바의 스테빌이 정말 정숙하게 잘 잡혀 있습니다. 그런데 백스페이스바, 엔터키, 시프트키의 스테빌은 엉망이네요. 특히나 엔터키에서 찰찰거리는 소리가 정말 방정맞게 나는데 이 부분은 제품상 불량으로 들어가지 않는다는 답변을 받았습니다. 글자 부분 키캡의 키감도 키캡마다 다 다릅니다. 어떤 키에선 찰찰거리는 소음이 나는데 어떤 키는 또 정숙합니다. 풀윤활 제품치고 이 정도 가격이면 저렴한 거다, 라는 말을 많이 봤지만 그래도 이 정도가 객관적으로 싸다고 할 만큼의 가격은 아닌데 이만큼 거슬릴 정도의 스테빌 같은 경우는 좀 잘 검수를 해서 출고시키는 게 맞지 않나 싶습니다. 쓰고 있던 토xx사의 저적축까지 당근에 팔아버리고 마련한 제품이라 기대가 정말정말 컸는데 그냥... 여러모로 아쉬운 제품입니다.

+ 결론: 전체적인 키감에 크게 신경쓰지 않는 분이라면 구입해도 상관없음. 스테빌 소음 등에 예민한 분은 돈 더 주고서라도 바밀x 제품으로 가는 게 맞음."
12,21.11.22.,2,배열: 87키 / 모델: ☆클라리온2(갈축35g),환불처리하는데 왔다갔다 착불배송만 2번했네요...ㅠ
13,21.02.09.,2,색상: ☆다크그레이 / 스위치: 적축,키보드가 수평이 아닌거 같아 누를때마다 덜컹덜컹 해서 밑에 휴지 한장을 깔았네요
14,22.12.16.,3,색상: 라이트그레이(87키) / 스위치: 적축(45g),맨 처음 사용했을 땐 잘 인지하지 못했는데 키압보다 통울림이 생각보다 심한것 같아서 놀랐어요ㅜㅜ 제가 기계식 키보드는 처음 사용해서 그런지; 원래 그런가 싶기도하고
15,22.07.09.,3,배열: 87키 / 색상: 다크그레이 / 스위치: 저소음적축(35g),"저소음 적축의 정숙성과 색상은 되게 만족스럽습니다만, 기대감이 커서 그런지 숫자2키 까진것과 'ㅜ' 키가 상대적으로 눈에 띄게 가라앉아 있는것은 되게 거슬립니다."
16,22.06.23.,3,배열: 87키 / 색상: 다크그레이 / 스위치: 게이트론 저소음갈축(45g),"좋습니다. 전체적으로 소리도 정갈하고 괜찮습니다.

엠스톤에서 코랄축,크림축,저적,게저갈 4대를 구매했는데

백스페이스 찰찰거림은 여전하네요

4대 전부다 백스페이스만 찰찰거려서 전부다 디솔하고 다시 잡았네요

기성품중에선 사용할만한거같습니다."
