,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,기입날짜,별점,옵션,후기,sentiment,Unnamed: 6
0,0.0,0,0,23.04.14.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",잘 우러나고 좋아요!,1.0,
1,1.0,1,1,23.04.14.,5,"삼각티백 종류 선택: 우엉차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",항상 여기서 시켜먹어요 ㅎㅎ,1.0,
2,2.0,2,2,23.04.14.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",좀 둥둥 뜨는데 처음 걷어내고 먹어요,0.0,
3,3.0,3,3,23.04.14.,5,"삼각티백 종류 선택: 돼지감자차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",구수하니 맛있어요 잘먹을게요,1.0,
4,4.0,4,4,23.04.14.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",한달동안 잘 먹고 있어요.,1.0,
5,5.0,5,5,23.04.14.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",내용물 적당하고 만족해서 계속 사용합니다.,1.0,
6,6.0,6,6,23.04.14.,5,"삼각티백 종류 선택: 라벤더차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",내용물 적당하고 만족해서 계속 사용합니다.,1.0,
7,7.0,7,7,23.04.14.,5,"삼각티백 종류 선택: 레몬밤차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",자주 시켜먹어요 부모님이랑 같이 먹는데 너무 좋아하셔요 ~,1.0,
8,8.0,8,8,23.04.13.,5,"삼각티백 종류 선택: 캐모마일차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","캐모마일 효능을 찾아보니
안 마실 수가 없겠던데요!
아직은 제 취향이 아니지만
먹다 보면 좋아지겠죵ㅋ
빠른 배송 감사합니다!",0.0,#
9,9.0,9,9,23.04.13.,5,"삼각티백 종류 선택: 페퍼민트차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송빠르고 제품도 문제없이 도착했습니다.,1.0,
10,10.0,10,10,23.04.13.,5,"삼각티백 종류 선택: 레몬밤차 티백 / 삼각티백 구성 선택: 50티백x2개
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송빠르고 제품도 이상없이 잘 도착했네요.,1.0,
11,11.0,11,11,23.04.13.,5,"삼각티백 종류 선택: 야관문차 티백 / 삼각티백 구성 선택: 100티백
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",야관문차도 재구매해서 잘먹고 잇슴다,1.0,
