,category,catlink,itemlink,itemname,itemprice
0,❤후원 목걸이❤,https://smartstore.naver.com/vldiol/category/b1069017d4564db0a8271d2b64ffd014?cp=1,https://smartstore.naver.com/vldiol/products/8241901071,[브디올] 유기동물 후원 Cozy 목걸이,16930
1,❤후원 팔찌❤,https://smartstore.naver.com/vldiol/category/011287821edf4f56ac9b6d214d1179e9?cp=1,https://smartstore.naver.com/vldiol/products/5647583908,[브디올] 유기동물 후원 디안 팔찌,19360
2,All Products,https://smartstore.naver.com/vldiol/category/d7d6f68ca6594222a6416d6298f3d696?cp=1,https://smartstore.naver.com/vldiol/products/8241901071,[브디올] 유기동물 후원 Cozy 목걸이,16930
3,All Products,https://smartstore.naver.com/vldiol/category/d7d6f68ca6594222a6416d6298f3d696?cp=1,https://smartstore.naver.com/vldiol/products/5647583908,[브디올] 유기동물 후원 디안 팔찌,19360
4,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8131706861,[무배] 톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡  4컬러 1+1 골라담기,7400
5,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8215932406,톡댓그립톡 미키 미니 디즈니 캐릭터 거울 미러 그립톡,4900
6,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900405507,톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡,3900
7,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8175469237,[무배] 톡댓그립톡 오로라 테디베어 곰돌이 레진 그립톡 5컬러 1+1 2개 골라담기,12300
8,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8166812222,톡댓그립톡 우주 갤럭시 하리보 테디베어 아크릴 그립톡,6900
9,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8140276417,[무배] 톡댓그립톡 하이틴 레트로 Y2K 키치 큐티 캐릭터 베티붑 아크릴 그립톡,13200
10,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264295636,톡댓그립톡 키치한 Y2K 무드 에잇볼 갤럭시 아이폰 케이스,9900
11,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264236478,톡댓그립톡 키치한 Y2K 무드 에잇볼 그립톡,6900
12,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8013142859,톡댓그립톡 럭키 구름 카메라풀커버 실리콘 젤리 아이폰 에어팟 케이스,4900
13,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8385745521,[무배] 톡댓그립톡 초경량 도킹형 스틱 보조배터리 5000mAh C타입 갤럭시 8핀 아이폰 1+1 골라담기,19400
14,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336487237,톡댓그립톡 키치한 쏘스 아크릴 그립톡,6900
15,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336289795,톡댓그립톡 귀여운 피크닉 소품 디저트 아크릴 그립톡,6900
16,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8324883889,톡댓그립톡 귀여운 키치 패스트푸드 프렌즈 아크릴 그립톡,6900
17,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8305549651,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 카드 케이스,9900
18,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8305400605,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 갤럭시 아이폰 케이스,9900
19,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8289155165,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 아크릴 그립톡,6900
20,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264146485,톡댓그립톡 폭신폭신 귀여운 리본 털 토끼 열쇠고리 키홀더 키링,6900
21,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264032896,톡댓그립톡 폭신폭신 귀여운 하트 폼폼이 솜털 열쇠고리 키링,4900
22,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8230754523,톡댓그립톡 베네치아 열쇠고리 에어팟 갤럭시버즈 키링,4900
23,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8230683006,톡댓그립톡 아기천사 열쇠고리 에어팟 갤럭시버즈 키링,4900
24,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8205344796,톡댓그립톡 귀여운 초코 곰돌이 에어팟 케이스 키링 세트,4900
25,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8205181256,톡댓그립톡 귀여운 하리보 카메라풀커버 실리콘 젤리 아이폰 케이스,4900
26,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8168478517,톡댓그립톡 해피벌스데이 테디베어 인형 그립 스마트톡,6900
27,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8161565340,톡댓그립톡 OREO 오레오 그립 스마트톡,6900
28,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158386402,톡댓그립톡 디저트카페 아이스크림 치즈 쿠키 베이커리 아크릴 그립톡,6900
29,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158258687,톡댓그립톡 피크닉 소풍 소품샵 구름 레몬 케이크 아크릴 그립톡,6900
30,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150365318,톡댓그립톡 귀여운 센과 치히로 스스와타리 먼지 인형 그립톡,4900
31,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150010199,톡댓그립톡 봄날 파스텔톤 플라워 꽃송이 아크릴 그립톡,3900
32,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148335246,톡댓그립톡 폭신폭신 귀여운 산리오 캐릭터 쿠션팝 빅사이즈 인형 그립톡,6900
33,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148107108,톡댓그립톡 건물 사이에 피어난 장미 그립톡,4900
34,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336487237,톡댓그립톡 키치한 쏘스 아크릴 그립톡,6900
35,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8336289795,톡댓그립톡 귀여운 피크닉 소품 디저트 아크릴 그립톡,6900
36,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8324883889,톡댓그립톡 귀여운 키치 패스트푸드 프렌즈 아크릴 그립톡,6900
37,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8289155165,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 아크릴 그립톡,6900
38,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8264236478,톡댓그립톡 키치한 Y2K 무드 에잇볼 그립톡,6900
39,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8215932406,톡댓그립톡 미키 미니 디즈니 캐릭터 거울 미러 그립톡,4900
40,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8175469237,[무배] 톡댓그립톡 오로라 테디베어 곰돌이 레진 그립톡 5컬러 1+1 2개 골라담기,12300
41,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8168478517,톡댓그립톡 해피벌스데이 테디베어 인형 그립 스마트톡,6900
42,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8166812222,톡댓그립톡 우주 갤럭시 하리보 테디베어 아크릴 그립톡,6900
43,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8161565340,톡댓그립톡 OREO 오레오 그립 스마트톡,6900
44,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158386402,톡댓그립톡 디저트카페 아이스크림 치즈 쿠키 베이커리 아크릴 그립톡,6900
45,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8158258687,톡댓그립톡 피크닉 소풍 소품샵 구름 레몬 케이크 아크릴 그립톡,6900
46,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150365318,톡댓그립톡 귀여운 센과 치히로 스스와타리 먼지 인형 그립톡,4900
47,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8150010199,톡댓그립톡 봄날 파스텔톤 플라워 꽃송이 아크릴 그립톡,3900
48,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148335246,톡댓그립톡 폭신폭신 귀여운 산리오 캐릭터 쿠션팝 빅사이즈 인형 그립톡,6900
49,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8148107108,톡댓그립톡 건물 사이에 피어난 장미 그립톡,4900
50,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8140276417,[무배] 톡댓그립톡 하이틴 레트로 Y2K 키치 큐티 캐릭터 베티붑 아크릴 그립톡,13200
51,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8131706861,[무배] 톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡  4컬러 1+1 골라담기,7400
52,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8120603034,톡댓그립톡 폭신폭신 귀여운 하트 폼폼이 솜털 멀티 컬러 그립톡,4900
53,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8108074327,톡댓그립톡 폭신폭신 빵빵한 귀여운 하트 쿠션 패딩 그립톡,4900
54,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8107911152,톡댓그립톡 비비드 빅 스마일 미러 거울 그립 스마트톡,4900
55,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8107346149,톡댓그립톡 영롱한 유광 홀로그램 투명 곰돌이 하리보 오로라 레진 그립 스마트톡,6900
56,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8105438890,톡댓그립톡 키치 유니크 하리보 초코비 곰젤리 쿠션 그립톡 별키링 포함,4900
57,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8105199513,톡댓그립톡 고급스러운 무광 홀로그램 투명 곰돌이 하리보 오로라 레진 그립 스마트톡,6900
58,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8098574202,[무배] 톡댓그립톡 엠엔엠즈 초콜릿 하이틴 테디베어 아크릴 그립 스마트톡,13200
59,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8090818284,[무배] 톡댓그립톡 해피래빗 하이틴 토끼 아크릴 그립 스마트톡,13200
60,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8087451583,[무배] 톡댓그립톡 귀여운 하이틴 심슨 도넛 핑거톡 그립톡,6900
61,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8075711084,톡댓그립톡 폭신폭신 꽃잎 플라워 그립톡 스마트톡,4900
62,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8075616464,톡댓그립톡 귀여운 곰돌이 인형 스마트톡 핑거톡 그립톡,4900
63,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8075415691,톡댓그립톡 귀여운 눈사람 식빵 쿠키 강아지 그립톡 스마트톡,4900
64,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7922512839,[무배] 톡댓그립톡 스누즈키튼즈 캐릭터 스쿨 슈퍼마켓 아크릴 거치대 홀더 그립톡,13200
65,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7918410978,톡댓그립톡 심플 링 그립톡2 맥세이프 메탈릭 컬러 그립톡,9900
66,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7916980054,톡댓그립톡 복실복실 체리 베어 부드러운 곰돌이 인형 그립 스마트톡,6900
67,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7916649014,톡댓그립톡 복실복실 귀여운 털실 곰돌이 곰도리 그립톡,6900
68,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900405507,톡댓그립톡 심플 슬림 라운드 원형 스마트링 마그네틱 그립 스마트톡,3900
69,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900398440,톡댓그립톡 곰돌이 테드 테디베어 스마트톡 그립톡 거치대 홀더,6900
70,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7900379143,톡댓그립톡 깅엄 체크 해피데이 스마일 이모지 그립톡,6900
71,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1,https://smartstore.naver.com/talk_that_griptok/products/7897305430,[무배] 톡댓그립톡 디저트래빗 하이틴 토끼 아크릴 그립 스마트톡,13200
72,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1,https://smartstore.naver.com/talk_that_griptok/products/8305400605,톡댓그립톡 귀여운 하리보 곰돌이 프렌즈 갤럭시 아이폰 케이스,9900
