,기입날짜,별점,옵션,후기
0,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
1,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
2,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
3,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
4,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
5,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
6,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
7,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
8,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
9,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
10,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
11,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
12,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
13,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
14,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 아이가 김부각을 싫어하는데  저희 부부는 좋아해요  그래서 늘 먹던거 먹고 아이는 싫어해서 안주고  저희만 먹다 요번에 다른걸 구매했어요  가족들 다 같이 맛있게 먹었음 하는 마음에  우선 하나만 구매했눈데  이게 무슨일인지 아이가 너무 잘먹어서 놀랬어요  아이가 전에 먹던거보다 더 맛있다며 엄지까지 들어주는데 이런적은.. 밥 먹으며 잘 못봤는데  잘먹으니 너무 좋더라구여  저희 부부도 먹어봤는데 훨씬 고소하고 바삭하고  너무 맛잇더라고요 이렇게 맛잇는 줄 알았으면 더  사 두는건데 ㅠㅠ  그래도 맛잇는 김부각 찾아서 대 만족!!  넘 맛있어요 사진/비디오 수 7 
15,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
16,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
17,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
18,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
19,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 아이가 김부각을 싫어하는데  저희 부부는 좋아해요  그래서 늘 먹던거 먹고 아이는 싫어해서 안주고  저희만 먹다 요번에 다른걸 구매했어요  가족들 다 같이 맛있게 먹었음 하는 마음에  우선 하나만 구매했눈데  이게 무슨일인지 아이가 너무 잘먹어서 놀랬어요  아이가 전에 먹던거보다 더 맛있다며 엄지까지 들어주는데 이런적은.. 밥 먹으며 잘 못봤는데  잘먹으니 너무 좋더라구여  저희 부부도 먹어봤는데 훨씬 고소하고 바삭하고  너무 맛잇더라고요 이렇게 맛잇는 줄 알았으면 더  사 두는건데 ㅠㅠ  그래도 맛잇는 김부각 찾아서 대 만족!!  넘 맛있어요 사진/비디오 수 7 
20,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 부각을 좋아해서 자주 사먹는 편인데요~ 와....수제부각이래서 그런가 바삭거림이 장난아니예요!! 진짜 광고에서 나올만한 와그작와그작 소리가 음식의 맛을 더 높여줘요~ 밀폐할 수 있는 기능이 있어서 먹다가 잠가놔도 바삭바삭함이 유지됩니다~ 또 해썹인증을 받아서 안전하게 먹을 수 있어서 좋아요~ 사진/비디오 수 7 
21,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
22,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
23,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
24,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
25,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 아이가 김부각을 싫어하는데  저희 부부는 좋아해요  그래서 늘 먹던거 먹고 아이는 싫어해서 안주고  저희만 먹다 요번에 다른걸 구매했어요  가족들 다 같이 맛있게 먹었음 하는 마음에  우선 하나만 구매했눈데  이게 무슨일인지 아이가 너무 잘먹어서 놀랬어요  아이가 전에 먹던거보다 더 맛있다며 엄지까지 들어주는데 이런적은.. 밥 먹으며 잘 못봤는데  잘먹으니 너무 좋더라구여  저희 부부도 먹어봤는데 훨씬 고소하고 바삭하고  너무 맛잇더라고요 이렇게 맛잇는 줄 알았으면 더  사 두는건데 ㅠㅠ  그래도 맛잇는 김부각 찾아서 대 만족!!  넘 맛있어요 사진/비디오 수 7 
26,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 부각을 좋아해서 자주 사먹는 편인데요~ 와....수제부각이래서 그런가 바삭거림이 장난아니예요!! 진짜 광고에서 나올만한 와그작와그작 소리가 음식의 맛을 더 높여줘요~ 밀폐할 수 있는 기능이 있어서 먹다가 잠가놔도 바삭바삭함이 유지됩니다~ 또 해썹인증을 받아서 안전하게 먹을 수 있어서 좋아요~ 사진/비디오 수 7 
27,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 김부각 너무맛있어요 맥주안주로도 짭쪼름하니좋고 애들간식으루두 좋네요 ㅎㅎ 지퍼팩으로 포장되있어서 먹다가 보관하기도 편하고 근데 맨날 한봉까면다먹네요 마성의간식..! 성분도다른과자들먹는것보다 좋구 건강 간식이라 마음놓고 먹어요 사진/비디오 수 3 
28,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
29,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
30,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
31,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
32,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 아이가 김부각을 싫어하는데  저희 부부는 좋아해요  그래서 늘 먹던거 먹고 아이는 싫어해서 안주고  저희만 먹다 요번에 다른걸 구매했어요  가족들 다 같이 맛있게 먹었음 하는 마음에  우선 하나만 구매했눈데  이게 무슨일인지 아이가 너무 잘먹어서 놀랬어요  아이가 전에 먹던거보다 더 맛있다며 엄지까지 들어주는데 이런적은.. 밥 먹으며 잘 못봤는데  잘먹으니 너무 좋더라구여  저희 부부도 먹어봤는데 훨씬 고소하고 바삭하고  너무 맛잇더라고요 이렇게 맛잇는 줄 알았으면 더  사 두는건데 ㅠㅠ  그래도 맛잇는 김부각 찾아서 대 만족!!  넘 맛있어요 사진/비디오 수 7 
33,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 부각을 좋아해서 자주 사먹는 편인데요~ 와....수제부각이래서 그런가 바삭거림이 장난아니예요!! 진짜 광고에서 나올만한 와그작와그작 소리가 음식의 맛을 더 높여줘요~ 밀폐할 수 있는 기능이 있어서 먹다가 잠가놔도 바삭바삭함이 유지됩니다~ 또 해썹인증을 받아서 안전하게 먹을 수 있어서 좋아요~ 사진/비디오 수 7 
34,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 김부각 너무맛있어요 맥주안주로도 짭쪼름하니좋고 애들간식으루두 좋네요 ㅎㅎ 지퍼팩으로 포장되있어서 먹다가 보관하기도 편하고 근데 맨날 한봉까면다먹네요 마성의간식..! 성분도다른과자들먹는것보다 좋구 건강 간식이라 마음놓고 먹어요 사진/비디오 수 3 
35,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 입이 심심할때마다 간식으로 먹으려고 주문했는데 찹쌀 김부각이라서 그런지 엄청 바삭바삭했어요 김부각은 진짜 식감 맛으로 먹는데 넘 맛있었습니다 간도 딱 적당하고 적당히 짭조름 하면서 고소하니 계속 손이가네요.. 앉아서 한봉지를 뚝딱 했습니다ㅎㅎ; 쟁여두고 먹어야겠어요 김부각 좋아하시는분들은 다 무난하게 좋아하실듯한 호불호없는 맛이에요 사진/비디오 수 4 
36,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
37,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
38,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
39,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
40,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 아이가 김부각을 싫어하는데  저희 부부는 좋아해요  그래서 늘 먹던거 먹고 아이는 싫어해서 안주고  저희만 먹다 요번에 다른걸 구매했어요  가족들 다 같이 맛있게 먹었음 하는 마음에  우선 하나만 구매했눈데  이게 무슨일인지 아이가 너무 잘먹어서 놀랬어요  아이가 전에 먹던거보다 더 맛있다며 엄지까지 들어주는데 이런적은.. 밥 먹으며 잘 못봤는데  잘먹으니 너무 좋더라구여  저희 부부도 먹어봤는데 훨씬 고소하고 바삭하고  너무 맛잇더라고요 이렇게 맛잇는 줄 알았으면 더  사 두는건데 ㅠㅠ  그래도 맛잇는 김부각 찾아서 대 만족!!  넘 맛있어요 사진/비디오 수 7 
41,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 부각을 좋아해서 자주 사먹는 편인데요~ 와....수제부각이래서 그런가 바삭거림이 장난아니예요!! 진짜 광고에서 나올만한 와그작와그작 소리가 음식의 맛을 더 높여줘요~ 밀폐할 수 있는 기능이 있어서 먹다가 잠가놔도 바삭바삭함이 유지됩니다~ 또 해썹인증을 받아서 안전하게 먹을 수 있어서 좋아요~ 사진/비디오 수 7 
42,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 김부각 너무맛있어요 맥주안주로도 짭쪼름하니좋고 애들간식으루두 좋네요 ㅎㅎ 지퍼팩으로 포장되있어서 먹다가 보관하기도 편하고 근데 맨날 한봉까면다먹네요 마성의간식..! 성분도다른과자들먹는것보다 좋구 건강 간식이라 마음놓고 먹어요 사진/비디오 수 3 
43,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 입이 심심할때마다 간식으로 먹으려고 주문했는데 찹쌀 김부각이라서 그런지 엄청 바삭바삭했어요 김부각은 진짜 식감 맛으로 먹는데 넘 맛있었습니다 간도 딱 적당하고 적당히 짭조름 하면서 고소하니 계속 손이가네요.. 앉아서 한봉지를 뚝딱 했습니다ㅎㅎ; 쟁여두고 먹어야겠어요 김부각 좋아하시는분들은 다 무난하게 좋아하실듯한 호불호없는 맛이에요 사진/비디오 수 4 
44,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 예전에 방영하던 나혼자산다 화사님 편을 보는데 김부각을 넘 맛있게 드셔서 급 갑자기 먹고 싶어져서 바로 구매해봤습니다 진짜 식감 바삭바삭하고 김 특유의 고소함이 더 극대화된 느낌?ㅋㅋ 진짜 고소해요 식감 미쳤고 딱 맥주 안주입니다 3개사면 1개 더줘서 이득입니다 진짜 맛있게 먹었어요 다 먹고 또 구매하러 오겠습니다 아마 이틀 못갈듯.. 사진/비디오 수 4 
45,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
46,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
47,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
48,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
49,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 아이가 김부각을 싫어하는데  저희 부부는 좋아해요  그래서 늘 먹던거 먹고 아이는 싫어해서 안주고  저희만 먹다 요번에 다른걸 구매했어요  가족들 다 같이 맛있게 먹었음 하는 마음에  우선 하나만 구매했눈데  이게 무슨일인지 아이가 너무 잘먹어서 놀랬어요  아이가 전에 먹던거보다 더 맛있다며 엄지까지 들어주는데 이런적은.. 밥 먹으며 잘 못봤는데  잘먹으니 너무 좋더라구여  저희 부부도 먹어봤는데 훨씬 고소하고 바삭하고  너무 맛잇더라고요 이렇게 맛잇는 줄 알았으면 더  사 두는건데 ㅠㅠ  그래도 맛잇는 김부각 찾아서 대 만족!!  넘 맛있어요 사진/비디오 수 7 
50,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 부각을 좋아해서 자주 사먹는 편인데요~ 와....수제부각이래서 그런가 바삭거림이 장난아니예요!! 진짜 광고에서 나올만한 와그작와그작 소리가 음식의 맛을 더 높여줘요~ 밀폐할 수 있는 기능이 있어서 먹다가 잠가놔도 바삭바삭함이 유지됩니다~ 또 해썹인증을 받아서 안전하게 먹을 수 있어서 좋아요~ 사진/비디오 수 7 
51,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 김부각 너무맛있어요 맥주안주로도 짭쪼름하니좋고 애들간식으루두 좋네요 ㅎㅎ 지퍼팩으로 포장되있어서 먹다가 보관하기도 편하고 근데 맨날 한봉까면다먹네요 마성의간식..! 성분도다른과자들먹는것보다 좋구 건강 간식이라 마음놓고 먹어요 사진/비디오 수 3 
52,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 입이 심심할때마다 간식으로 먹으려고 주문했는데 찹쌀 김부각이라서 그런지 엄청 바삭바삭했어요 김부각은 진짜 식감 맛으로 먹는데 넘 맛있었습니다 간도 딱 적당하고 적당히 짭조름 하면서 고소하니 계속 손이가네요.. 앉아서 한봉지를 뚝딱 했습니다ㅎㅎ; 쟁여두고 먹어야겠어요 김부각 좋아하시는분들은 다 무난하게 좋아하실듯한 호불호없는 맛이에요 사진/비디오 수 4 
53,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 예전에 방영하던 나혼자산다 화사님 편을 보는데 김부각을 넘 맛있게 드셔서 급 갑자기 먹고 싶어져서 바로 구매해봤습니다 진짜 식감 바삭바삭하고 김 특유의 고소함이 더 극대화된 느낌?ㅋㅋ 진짜 고소해요 식감 미쳤고 딱 맥주 안주입니다 3개사면 1개 더줘서 이득입니다 진짜 맛있게 먹었어요 다 먹고 또 구매하러 오겠습니다 아마 이틀 못갈듯.. 사진/비디오 수 4 
54,23.04.09.,5,옵션 선택: 50gx1봉,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 한달사용기먹어본것중 최고!! 다시 주문하러 고고!! 
55,23.04.08.,4,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 짜지않고 바삭밧삭 맛있어요 
56,23.03.13.,4,옵션 선택: 3봉(50gx3봉),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 바싹  바싹  맛나요~~^^ 
57,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 역시 믿고먹는 우고래빗입니다 차나 견과류 주문시 너무 만족해서  김부각도 주문해봤는데 너무너무 맛있어요!! 평소 김부각 좋아하는데 우고래빗꺼 은은하게 달달하고 고소하고 너무 맛있습니당 ㅎㅎ 
58,23.04.11.,5,옵션 선택: 50gx3개(추가 1개 추가증정),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 시중에서 파는 김부각 보다 안 달고 안 짜요. 손에 기름기 같은거 안 묻어서 넘 좋네요. 바삭한데 입천장 까지는 그런게 아니라 부드러운 바삭함이에요! 딸아이가 김부각 엄청 좋아하는데 마트에서 파는 것 보다 훨씬 맛있대요! 4봉지 샀는데 하루만에 없어질 것 같네요 ㅎㅎ 
59,23.04.11.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 아이가 김부각을 싫어하는데  저희 부부는 좋아해요  그래서 늘 먹던거 먹고 아이는 싫어해서 안주고  저희만 먹다 요번에 다른걸 구매했어요  가족들 다 같이 맛있게 먹었음 하는 마음에  우선 하나만 구매했눈데  이게 무슨일인지 아이가 너무 잘먹어서 놀랬어요  아이가 전에 먹던거보다 더 맛있다며 엄지까지 들어주는데 이런적은.. 밥 먹으며 잘 못봤는데  잘먹으니 너무 좋더라구여  저희 부부도 먹어봤는데 훨씬 고소하고 바삭하고  너무 맛잇더라고요 이렇게 맛잇는 줄 알았으면 더  사 두는건데 ㅠㅠ  그래도 맛잇는 김부각 찾아서 대 만족!!  넘 맛있어요 사진/비디오 수 7 
60,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 부각을 좋아해서 자주 사먹는 편인데요~ 와....수제부각이래서 그런가 바삭거림이 장난아니예요!! 진짜 광고에서 나올만한 와그작와그작 소리가 음식의 맛을 더 높여줘요~ 밀폐할 수 있는 기능이 있어서 먹다가 잠가놔도 바삭바삭함이 유지됩니다~ 또 해썹인증을 받아서 안전하게 먹을 수 있어서 좋아요~ 사진/비디오 수 7 
61,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 김부각 너무맛있어요 맥주안주로도 짭쪼름하니좋고 애들간식으루두 좋네요 ㅎㅎ 지퍼팩으로 포장되있어서 먹다가 보관하기도 편하고 근데 맨날 한봉까면다먹네요 마성의간식..! 성분도다른과자들먹는것보다 좋구 건강 간식이라 마음놓고 먹어요 사진/비디오 수 3 
62,23.04.10.,5,옵션 선택: 1개(50gx1개),유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요 입이 심심할때마다 간식으로 먹으려고 주문했는데 찹쌀 김부각이라서 그런지 엄청 바삭바삭했어요 김부각은 진짜 식감 맛으로 먹는데 넘 맛있었습니다 간도 딱 적당하고 적당히 짭조름 하면서 고소하니 계속 손이가네요.. 앉아서 한봉지를 뚝딱 했습니다ㅎㅎ; 쟁여두고 먹어야겠어요 김부각 좋아하시는분들은 다 무난하게 좋아하실듯한 호불호없는 맛이에요 사진/비디오 수 4 
