,기입날짜,별점,옵션,후기
0,23.03.01.,1,선택: 07.갓볶은 보리차 500g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 2+1이란 제목에 낚인기분. 꼼꼼히 안읽어본 내 잘못인건가. 그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다. 하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다. 
1,23.03.01.,1,선택: 07.갓볶은 보리차 500g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 2+1이란 제목에 낚인기분. 꼼꼼히 안읽어본 내 잘못인건가. 그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다. 하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다. 
2,23.03.23.,2,선택: 10.갓볶은 모과차 200g,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 ㅋㅋㅋ 모과는 좀 그래요~~~~ 
3,23.03.01.,1,선택: 07.갓볶은 보리차 500g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 2+1이란 제목에 낚인기분. 꼼꼼히 안읽어본 내 잘못인건가. 그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다. 하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다. 
4,23.03.23.,2,선택: 10.갓볶은 모과차 200g,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 ㅋㅋㅋ 모과는 좀 그래요~~~~ 
5,23.03.28.,3,선택: 05.갓볶은 여주차 100g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 생각보다 맛 괜찬아요 구수하고 좋아여 당뇨에 많은 도움 되었으면 합니다 
6,23.03.01.,1,선택: 07.갓볶은 보리차 500g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 2+1이란 제목에 낚인기분. 꼼꼼히 안읽어본 내 잘못인건가. 그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다. 하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다. 
7,23.03.23.,2,선택: 10.갓볶은 모과차 200g,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 ㅋㅋㅋ 모과는 좀 그래요~~~~ 
8,23.03.28.,3,선택: 05.갓볶은 여주차 100g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 생각보다 맛 괜찬아요 구수하고 좋아여 당뇨에 많은 도움 되었으면 합니다 
9,23.03.26.,3,선택: 10.갓볶은 모과차 200g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 모과향이 많이 나질 않아요ㅜ 
10,23.03.01.,1,선택: 07.갓볶은 보리차 500g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 2+1이란 제목에 낚인기분. 꼼꼼히 안읽어본 내 잘못인건가. 그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다. 하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다. 
11,23.03.23.,2,선택: 10.갓볶은 모과차 200g,맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요 ㅋㅋㅋ 모과는 좀 그래요~~~~ 
12,23.03.28.,3,선택: 05.갓볶은 여주차 100g,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 생각보다 맛 괜찬아요 구수하고 좋아여 당뇨에 많은 도움 되었으면 합니다 
