,기입날짜,별점,옵션,후기
0,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
1,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
2,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
3,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
4,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
5,23.04.11.,5,아몬드 선택: 02.갓구운 아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다이어트 중이라 출출할떄 견과류 먹을려고 주문했는데 맛있어서 생각보다 많이 먹게 되는거 같아요............아몬드 자체가 고급아몬드인거 같아요!!! 맛 포장 모든게 최고입니다 ^^ 
6,23.04.11.,5,아몬드 선택: 03.갓구운 피스타치오 270g,"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다른피스타치오는 짜고 껍질까기도 힘든경우가있었는데, 이건 껍질도잘까지고 싱싱해서 고소하고 너무맛있었어요 사진/비디오 수 2 "
7,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 케이스가 너무 귀여워요. 아몬드 크기도 큼직하고 깨진거 없이 잘 왔어요. 볶아서 먹으니 고소하고 군내같은 것도 전혀없습니다. 신선한것 같아요.!! 아이들과 주전부리로 잘 먹고 있어요~ 
8,23.04.11.,5,아몬드 선택: 02.갓구운 아몬드 350g(22년 햇상품),생산지명확해요포장꼼꼼해요맛 만족도맛있어요 다이어트 중이라 출출할떄 견과류 먹을려고 주문했는데 맛있어서 생각보다 많이 먹게 되는거 같아요............아몬드 자체가 고급아몬드인거 같아요!!! 맛 포장 모든게 최고입니다 ^^ 
9,23.04.11.,5,아몬드 선택: 01.생아몬드 350g(22년 햇상품),"생산지명확해요포장꼼꼼해요맛 만족도맛있어요 호두 싫어하는 저 같은 분들, 아몬드에 누워봅시다🥜🫘🌰 견과류 몸에 좋은건 알지만 왜인지 모르게 호두는 떫기만하고 정이 안가는 취향이라 생아몬드로 사서 약한불에 넓게 펼치고 볶볶 해주었더니 세상 고소하고 담백 바삭한 아몬드 등장-!🌟 볶은 아몬드도 맛있지만 먹을만큼만 그때그때 소량으로 직접 볶아서 바로 먹으면 너무 맛있더라구요🤤 귀여운 원형 패키지통은 버리지말고 놔뒀다가 다른 수납용도로도 쓰려구요 : ) 하루 5개 아몬드 굿굿굿🫶💕 사진/비디오 수 5 "
