,기입날짜,별점,옵션,후기
0,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
1,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
2,23.04.10.,4,허브티 선택: 01.얼그레이 50티백,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 아직 먹어보지않았지만 개봉하니 향이 좋아요.~ 
3,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
4,23.04.10.,4,허브티 선택: 01.얼그레이 50티백,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 아직 먹어보지않았지만 개봉하니 향이 좋아요.~ 
5,23.03.14.,4,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 좋네요 지금같은 날씨에딱이네요 
6,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
7,23.04.10.,4,허브티 선택: 01.얼그레이 50티백,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 아직 먹어보지않았지만 개봉하니 향이 좋아요.~ 
8,23.03.14.,4,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 좋네요 지금같은 날씨에딱이네요 
9,23.03.10.,4,차 종류 선택: 05.자스민 / 수량 선택: 100개입(50개입x2개),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 배송빠르고 포장도 깔끔한데 맛은그냥 그래요 
10,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
11,23.04.10.,4,허브티 선택: 01.얼그레이 50티백,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 아직 먹어보지않았지만 개봉하니 향이 좋아요.~ 
12,23.03.14.,4,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한꽤 남았어요포장적당해요 좋네요 지금같은 날씨에딱이네요 
13,23.03.10.,4,차 종류 선택: 05.자스민 / 수량 선택: 100개입(50개입x2개),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 배송빠르고 포장도 깔끔한데 맛은그냥 그래요 
14,23.03.10.,4,차 종류 선택: 04.잉글리쉬 블랙퍼스트 / 수량 선택: 100개입(50개입x2개),맛 만족도평범해요유통기한꽤 남았어요포장적당해요 배송빠르고 깔끔한 포장 맛은 그냥그러네요 
15,23.03.12.,3,차 종류 선택: 01.얼그레이 / 수량 선택: 50개입,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요 맛이 생각보다 연해요.. 
